"Type of data","Self-estimated health","Sex","Age group","Year","Self-estimated health"
"Weighted","Average","Men","25-34","2010",31.1
"Weighted","Average","Men","25-34","2012",28.8
"Weighted","Average","Men","25-34","2014",29.5
"Weighted","Average","Men","25-34","2016",34.0
"Weighted","Average","Men","25-34","2018",33.1
"Weighted","Average","Men","25-34","2020",22.1
"Weighted","Average","Men","25-34","2022",22.3
"Weighted","Average","Men","25-34","2024",28.3
"Weighted","Average","Men","35-44","1990",60.9
"Weighted","Average","Men","35-44","1992",63.0
"Weighted","Average","Men","35-44","1994",63.9
"Weighted","Average","Men","35-44","1996",55.4
"Weighted","Average","Men","35-44","1998",56.3
"Weighted","Average","Men","35-44","2000",62.6
"Weighted","Average","Men","35-44","2002",46.5
"Weighted","Average","Men","35-44","2004",48.4
"Weighted","Average","Men","35-44","2006",47.3
"Weighted","Average","Men","35-44","2008",49.3
"Weighted","Average","Men","35-44","2010",43.0
"Weighted","Average","Men","35-44","2012",45.5
"Weighted","Average","Men","35-44","2014",35.2
"Weighted","Average","Men","35-44","2016",33.7
"Weighted","Average","Men","35-44","2018",37.5
"Weighted","Average","Men","35-44","2020",36.5
"Weighted","Average","Men","35-44","2022",35.1
"Weighted","Average","Men","35-44","2024",27.7
"Weighted","Average","Men","45-54","1990",67.2
"Weighted","Average","Men","45-54","1992",73.2
"Weighted","Average","Men","45-54","1994",62.3
"Weighted","Average","Men","45-54","1996",63.0
"Weighted","Average","Men","45-54","1998",57.8
"Weighted","Average","Men","45-54","2000",69.0
"Weighted","Average","Men","45-54","2002",64.3
"Weighted","Average","Men","45-54","2004",59.4
"Weighted","Average","Men","45-54","2006",54.2
"Weighted","Average","Men","45-54","2008",54.2
"Weighted","Average","Men","45-54","2010",52.1
"Weighted","Average","Men","45-54","2012",51.1
"Weighted","Average","Men","45-54","2014",47.6
"Weighted","Average","Men","45-54","2016",50.0
"Weighted","Average","Men","45-54","2018",50.4
"Weighted","Average","Men","45-54","2020",40.5
"Weighted","Average","Men","45-54","2022",36.9
"Weighted","Average","Men","45-54","2024",34.8
"Weighted","Average","Men","55-64","1990",73.8
"Weighted","Average","Men","55-64","1992",71.2
"Weighted","Average","Men","55-64","1994",71.1
"Weighted","Average","Men","55-64","1996",64.3
"Weighted","Average","Men","55-64","1998",67.6
"Weighted","Average","Men","55-64","2000",67.1
"Weighted","Average","Men","55-64","2002",55.3
"Weighted","Average","Men","55-64","2004",57.2
"Weighted","Average","Men","55-64","2006",60.1
"Weighted","Average","Men","55-64","2008",56.2
"Weighted","Average","Men","55-64","2010",59.1
"Weighted","Average","Men","55-64","2012",51.4
"Weighted","Average","Men","55-64","2014",53.4
"Weighted","Average","Men","55-64","2016",54.2
"Weighted","Average","Men","55-64","2018",52.1
"Weighted","Average","Men","55-64","2020",53.1
"Weighted","Average","Men","55-64","2022",45.4
"Weighted","Average","Men","55-64","2024",43.2
"Weighted","Average","Women","All age groups (16-64)","1990",62.3
"Weighted","Average","Women","All age groups (16-64)","1992",61.8
"Weighted","Average","Women","All age groups (16-64)","1994",59.2
"Weighted","Average","Women","All age groups (16-64)","1996",55.9
"Weighted","Average","Women","All age groups (16-64)","1998",56.2
"Weighted","Average","Women","All age groups (16-64)","2000",52.3
"Weighted","Average","Women","All age groups (16-64)","2002",50.8
"Weighted","Average","Women","All age groups (16-64)","2004",47.1
"Weighted","Average","Women","All age groups (16-64)","2006",44.3
"Weighted","Average","Women","All age groups (16-64)","2008",39.3
"Weighted","Average","Women","All age groups (16-64)","2010",40.1
"Weighted","Average","Women","All age groups (16-64)","2012",35.4
"Weighted","Average","Women","All age groups (16-64)","2014",36.8
"Weighted","Average","Women","All age groups (16-64)","2016",35.0
"Weighted","Average","Women","All age groups (16-64)","2018",39.7
"Weighted","Average","Women","All age groups (16-64)","2020",31.2
"Weighted","Average","Women","All age groups (16-64)","2022",31.8
"Weighted","Average","Women","All age groups (16-64)","2024",35.6
"Weighted","Average","Women","16-24","1990",39.1
"Weighted","Average","Women","16-24","1992",39.5
"Weighted","Average","Women","16-24","1994",44.7
"Weighted","Average","Women","16-24","1996",39.7
"Weighted","Average","Women","16-24","1998",34.8
"Weighted","Average","Women","16-24","2000",37.7
"Weighted","Average","Women","16-24","2002",32.1
"Weighted","Average","Women","16-24","2004",32.5
"Weighted","Average","Women","16-24","2006",32.3
"Weighted","Average","Women","16-24","2008",22.0
"Weighted","Average","Women","16-24","2010",24.3
"Weighted","Average","Women","16-24","2012",27.5
"Weighted","Average","Women","16-24","2014",21.0
"Weighted","Average","Women","16-24","2016",28.5
"Weighted","Average","Women","16-24","2018",28.6
"Weighted","Average","Women","16-24","2020",26.3
"Weighted","Average","Women","16-24","2022",24.0
"Weighted","Average","Women","16-24","2024",33.2
"Weighted","Average","Women","25-34","1990",60.6
"Weighted","Average","Women","25-34","1992",60.8
"Weighted","Average","Women","25-34","1994",52.2
"Weighted","Average","Women","25-34","1996",48.4
"Weighted","Average","Women","25-34","1998",49.3
"Weighted","Average","Women","25-34","2000",47.2
"Weighted","Average","Women","25-34","2002",42.0
"Weighted","Average","Women","25-34","2004",32.0
"Weighted","Average","Women","25-34","2006",31.4
"Weighted","Average","Women","25-34","2008",25.5
"Weighted","Average","Women","25-34","2010",28.1
"Weighted","Average","Women","25-34","2012",23.1
"Weighted","Average","Women","25-34","2014",25.1
"Weighted","Average","Women","25-34","2016",23.7
"Weighted","Average","Women","25-34","2018",30.3
"Weighted","Average","Women","25-34","2020",22.5
"Weighted","Average","Women","25-34","2022",22.2
"Weighted","Average","Women","25-34","2024",22.9
"Weighted","Average","Women","35-44","1990",63.6
"Weighted","Average","Women","35-44","1992",60.0
"Weighted","Average","Women","35-44","1994",57.3
"Weighted","Average","Women","35-44","1996",62.6
"Weighted","Average","Women","35-44","1998",60.4
"Weighted","Average","Women","35-44","2000",52.9
"Weighted","Average","Women","35-44","2002",54.2
"Weighted","Average","Women","35-44","2004",49.7
"Weighted","Average","Women","35-44","2006",42.3
"Weighted","Average","Women","35-44","2008",35.4
"Weighted","Average","Women","35-44","2010",39.4
"Weighted","Average","Women","35-44","2012",29.6
"Weighted","Average","Women","35-44","2014",33.1
"Weighted","Average","Women","35-44","2016",28.2
"Weighted","Average","Women","35-44","2018",36.3
"Weighted","Average","Women","35-44","2020",26.1
"Weighted","Average","Women","35-44","2022",27.8
"Weighted","Average","Women","35-44","2024",31.8
"Weighted","Average","Women","45-54","1990",71.0
"Weighted","Average","Women","45-54","1992",70.6
"Weighted","Average","Women","45-54","1994",74.6
"Weighted","Average","Women","45-54","1996",61.6
"Weighted","Average","Women","45-54","1998",60.9
"Weighted","Average","Women","45-54","2000",55.0
"Weighted","Average","Women","45-54","2002",57.2
"Weighted","Average","Women","45-54","2004",57.1
"Weighted","Average","Women","45-54","2006",57.9
"Weighted","Average","Women","45-54","2008",52.4
"Weighted","Average","Women","45-54","2010",51.0
"Weighted","Average","Women","45-54","2012",41.9
"Weighted","Average","Women","45-54","2014",44.8
"Weighted","Average","Women","45-54","2016",42.4
"Weighted","Average","Women","45-54","2018",47.7
"Weighted","Average","Women","45-54","2020",34.5
"Weighted","Average","Women","45-54","2022",36.5
"Weighted","Average","Women","45-54","2024",38.7
"Weighted","Average","Women","55-64","1990",70.8
"Weighted","Average","Women","55-64","1992",77.2
"Weighted","Average","Women","55-64","1994",67.2
"Weighted","Average","Women","55-64","1996",64.9
"Weighted","Average","Women","55-64","1998",73.1
"Weighted","Average","Women","55-64","2000",67.6
"Weighted","Average","Women","55-64","2002",67.5
"Weighted","Average","Women","55-64","2004",63.8
"Weighted","Average","Women","55-64","2006",57.1
"Weighted","Average","Women","55-64","2008",60.3
"Weighted","Average","Women","55-64","2010",55.3
"Weighted","Average","Women","55-64","2012",52.3
"Weighted","Average","Women","55-64","2014",55.1
"Weighted","Average","Women","55-64","2016",50.0
"Weighted","Average","Women","55-64","2018",51.0
"Weighted","Average","Women","55-64","2020",43.9
"Weighted","Average","Women","55-64","2022",44.8
"Weighted","Average","Women","55-64","2024",49.7
"Weighted","Poor or rather poor","Men and women","All age groups (16-64)","1990",10.7
"Weighted","Poor or rather poor","Men and women","All age groups (16-64)","1992",7.6
"Weighted","Poor or rather poor","Men and women","All age groups (16-64)","1994",8.6
"Weighted","Poor or rather poor","Men and women","All age groups (16-64)","1996",10.0
"Weighted","Poor or rather poor","Men and women","All age groups (16-64)","1998",9.2
"Weighted","Poor or rather poor","Men and women","All age groups (16-64)","2000",9.9
"Weighted","Poor or rather poor","Men and women","All age groups (16-64)","2002",9.9
"Weighted","Poor or rather poor","Men and women","All age groups (16-64)","2004",10.9
"Weighted","Poor or rather poor","Men and women","All age groups (16-64)","2006",9.7
"Weighted","Poor or rather poor","Men and women","All age groups (16-64)","2008",8.6
"Weighted","Poor or rather poor","Men and women","All age groups (16-64)","2010",10.0
"Weighted","Poor or rather poor","Men and women","All age groups (16-64)","2012",10.0
"Weighted","Poor or rather poor","Men and women","All age groups (16-64)","2014",9.4
"Weighted","Poor or rather poor","Men and women","All age groups (16-64)","2016",8.9
"Weighted","Poor or rather poor","Men and women","All age groups (16-64)","2018",8.9
"Weighted","Poor or rather poor","Men and women","All age groups (16-64)","2020",9.1
"Weighted","Poor or rather poor","Men and women","All age groups (16-64)","2022",8.5
"Weighted","Poor or rather poor","Men and women","All age groups (16-64)","2024",8.8
"Weighted","Poor or rather poor","Men and women","16-24","1990",7.7
"Weighted","Poor or rather poor","Men and women","16-24","1992",3.3
"Weighted","Poor or rather poor","Men and women","16-24","1994",4.1
"Weighted","Poor or rather poor","Men and women","16-24","1996",3.1
"Weighted","Poor or rather poor","Men and women","16-24","1998",2.8
"Weighted","Poor or rather poor","Men and women","16-24","2000",3.2
"Weighted","Poor or rather poor","Men and women","16-24","2002",2.4
"Weighted","Poor or rather poor","Men and women","16-24","2004",4.4
"Weighted","Poor or rather poor","Men and women","16-24","2006",5.2
"Weighted","Poor or rather poor","Men and women","16-24","2008",2.4
"Weighted","Poor or rather poor","Men and women","16-24","2010",2.5
"Weighted","Poor or rather poor","Men and women","16-24","2012",3.0
"Weighted","Poor or rather poor","Men and women","16-24","2014",3.3
"Weighted","Poor or rather poor","Men and women","16-24","2016",2.8
"Weighted","Poor or rather poor","Men and women","16-24","2018",6.0
"Weighted","Poor or rather poor","Men and women","16-24","2020",3.5
"Weighted","Poor or rather poor","Men and women","16-24","2022",4.5
"Weighted","Poor or rather poor","Men and women","16-24","2024",4.3
"Weighted","Poor or rather poor","Men and women","25-34","1990",5.8
"Weighted","Poor or rather poor","Men and women","25-34","1992",4.3
"Weighted","Poor or rather poor","Men and women","25-34","1994",3.3
"Weighted","Poor or rather poor","Men and women","25-34","1996",5.3
"Weighted","Poor or rather poor","Men and women","25-34","1998",5.2
"Weighted","Poor or rather poor","Men and women","25-34","2000",5.0
"Weighted","Poor or rather poor","Men and women","25-34","2002",5.3
"Weighted","Poor or rather poor","Men and women","25-34","2004",5.0
"Weighted","Poor or rather poor","Men and women","25-34","2006",5.2
"Weighted","Poor or rather poor","Men and women","25-34","2008",4.2
"Weighted","Poor or rather poor","Men and women","25-34","2010",4.9
"Weighted","Poor or rather poor","Men and women","25-34","2012",5.2
"Weighted","Poor or rather poor","Men and women","25-34","2014",2.3
"Weighted","Poor or rather poor","Men and women","25-34","2016",5.1
"Weighted","Poor or rather poor","Men and women","25-34","2018",4.3
"Weighted","Poor or rather poor","Men and women","25-34","2020",4.1
"Weighted","Poor or rather poor","Men and women","25-34","2022",3.8
"Weighted","Poor or rather poor","Men and women","25-34","2024",6.3
"Weighted","Poor or rather poor","Men and women","35-44","1990",8.8
"Weighted","Poor or rather poor","Men and women","35-44","1992",6.0
"Weighted","Poor or rather poor","Men and women","35-44","1994",7.9
"Weighted","Poor or rather poor","Men and women","35-44","1996",8.0
"Weighted","Poor or rather poor","Men and women","35-44","1998",8.4
"Weighted","Poor or rather poor","Men and women","35-44","2000",7.1
"Weighted","Poor or rather poor","Men and women","35-44","2002",8.6
"Weighted","Poor or rather poor","Men and women","35-44","2004",9.3
"Weighted","Poor or rather poor","Men and women","35-44","2006",6.8
"Weighted","Poor or rather poor","Men and women","35-44","2008",5.9
"Weighted","Poor or rather poor","Men and women","35-44","2010",8.7
"Weighted","Poor or rather poor","Men and women","35-44","2012",5.3
"Weighted","Poor or rather poor","Men and women","35-44","2014",9.0
"Weighted","Poor or rather poor","Men and women","35-44","2016",5.6
"Weighted","Poor or rather poor","Men and women","35-44","2018",7.6
"Weighted","Poor or rather poor","Men and women","35-44","2020",5.8
"Weighted","Poor or rather poor","Men and women","35-44","2022",7.5
"Weighted","Poor or rather poor","Men and women","35-44","2024",7.1
"Weighted","Poor or rather poor","Men and women","45-54","1990",15.0
"Weighted","Poor or rather poor","Men and women","45-54","1992",12.5
"Weighted","Poor or rather poor","Men and women","45-54","1994",12.6
"Weighted","Poor or rather poor","Men and women","45-54","1996",15.1
"Weighted","Poor or rather poor","Men and women","45-54","1998",13.6
"Weighted","Poor or rather poor","Men and women","45-54","2000",17.4
"Weighted","Poor or rather poor","Men and women","45-54","2002",14.3
"Weighted","Poor or rather poor","Men and women","45-54","2004",14.5
"Weighted","Poor or rather poor","Men and women","45-54","2006",13.4
"Weighted","Poor or rather poor","Men and women","45-54","2008",11.9
"Weighted","Poor or rather poor","Men and women","45-54","2010",14.3
"Weighted","Poor or rather poor","Men and women","45-54","2012",14.1
"Weighted","Poor or rather poor","Men and women","45-54","2014",11.1
"Weighted","Poor or rather poor","Men and women","45-54","2016",10.7
"Weighted","Poor or rather poor","Men and women","45-54","2018",10.4
"Weighted","Poor or rather poor","Men and women","45-54","2020",11.7
"Weighted","Poor or rather poor","Men and women","45-54","2022",9.5
"Weighted","Poor or rather poor","Men and women","45-54","2024",9.1
"Weighted","Poor or rather poor","Men and women","55-64","1990",17.2
"Weighted","Poor or rather poor","Men and women","55-64","1992",13.6
"Weighted","Poor or rather poor","Men and women","55-64","1994",16.5
"Weighted","Poor or rather poor","Men and women","55-64","1996",19.7
"Weighted","Poor or rather poor","Men and women","55-64","1998",16.7
"Weighted","Poor or rather poor","Men and women","55-64","2000",18.3
"Weighted","Poor or rather poor","Men and women","55-64","2002",20.7
"Weighted","Poor or rather poor","Men and women","55-64","2004",23.6
"Weighted","Poor or rather poor","Men and women","55-64","2006",19.3
"Weighted","Poor or rather poor","Men and women","55-64","2008",20.5
"Weighted","Poor or rather poor","Men and women","55-64","2010",20.2
"Weighted","Poor or rather poor","Men and women","55-64","2012",22.2
"Weighted","Poor or rather poor","Men and women","55-64","2014",20.5
"Weighted","Poor or rather poor","Men and women","55-64","2016",19.0
"Weighted","Poor or rather poor","Men and women","55-64","2018",15.7
"Weighted","Poor or rather poor","Men and women","55-64","2020",19.1
"Weighted","Poor or rather poor","Men and women","55-64","2022",15.9
"Weighted","Poor or rather poor","Men and women","55-64","2024",16.4
"Weighted","Poor or rather poor","Men","All age groups (16-64)","1990",9.4
"Weighted","Poor or rather poor","Men","All age groups (16-64)","1992",6.3
"Weighted","Poor or rather poor","Men","All age groups (16-64)","1994",6.4
"Weighted","Poor or rather poor","Men","All age groups (16-64)","1996",9.1
"Weighted","Poor or rather poor","Men","All age groups (16-64)","1998",8.9
"Weighted","Poor or rather poor","Men","All age groups (16-64)","2000",8.5
"Weighted","Poor or rather poor","Men","All age groups (16-64)","2002",10.2
"Weighted","Poor or rather poor","Men","All age groups (16-64)","2004",11.5
"Weighted","Poor or rather poor","Men","All age groups (16-64)","2006",10.3
"Weighted","Poor or rather poor","Men","All age groups (16-64)","2008",9.5
"Weighted","Poor or rather poor","Men","All age groups (16-64)","2010",11.2
"Weighted","Poor or rather poor","Men","All age groups (16-64)","2012",11.0
"Weighted","Poor or rather poor","Men","All age groups (16-64)","2014",10.2
"Weighted","Poor or rather poor","Men","All age groups (16-64)","2016",9.2
"Weighted","Poor or rather poor","Men","All age groups (16-64)","2018",9.8
"Weighted","Poor or rather poor","Men","All age groups (16-64)","2020",9.9
"Weighted","Poor or rather poor","Men","All age groups (16-64)","2022",8.8
"Weighted","Poor or rather poor","Men","All age groups (16-64)","2024",9.0
"Weighted","Poor or rather poor","Men","16-24","1990",8.8
"Weighted","Poor or rather poor","Men","16-24","1992",3.0
"Weighted","Poor or rather poor","Men","16-24","1994",0.0
"Weighted","Poor or rather poor","Men","16-24","1996",1.3
"Weighted","Poor or rather poor","Men","16-24","1998",2.3
"Weighted","Poor or rather poor","Men","16-24","2000",2.7
"Weighted","Poor or rather poor","Men","16-24","2002",1.8
"Weighted","Poor or rather poor","Men","16-24","2004",4.2
"Weighted","Poor or rather poor","Men","16-24","2006",5.9
"Weighted","Poor or rather poor","Men","16-24","2008",2.5
"Weighted","Poor or rather poor","Men","16-24","2010",1.7
"Weighted","Poor or rather poor","Men","16-24","2012",4.6
"Weighted","Poor or rather poor","Men","16-24","2014",3.2
"Weighted","Poor or rather poor","Men","16-24","2016",4.1
"Weighted","Poor or rather poor","Men","16-24","2018",6.5
"Weighted","Poor or rather poor","Men","16-24","2020",3.2
"Weighted","Poor or rather poor","Men","16-24","2022",4.8
"Weighted","Poor or rather poor","Men","16-24","2024",2.6
"Weighted","Poor or rather poor","Men","25-34","1990",3.2
"Weighted","Poor or rather poor","Men","25-34","1992",5.0
"Weighted","Poor or rather poor","Men","25-34","1994",2.7
"Weighted","Poor or rather poor","Men","25-34","1996",2.9
"Weighted","Poor or rather poor","Men","25-34","1998",5.6
"Weighted","Poor or rather poor","Men","25-34","2000",5.2
"Weighted","Poor or rather poor","Men","25-34","2002",3.0
"Weighted","Poor or rather poor","Men","25-34","2004",6.1
"Weighted","Poor or rather poor","Men","25-34","2006",7.7
"Weighted","Poor or rather poor","Men","25-34","2008",5.7
"Weighted","Poor or rather poor","Men","25-34","2010",6.8
"Weighted","Poor or rather poor","Men","25-34","2012",5.5
"Weighted","Poor or rather poor","Men","25-34","2014",3.2
"Weighted","Poor or rather poor","Men","25-34","2016",4.6
"Weighted","Poor or rather poor","Men","25-34","2018",4.8
"Weighted","Poor or rather poor","Men","25-34","2020",4.4
"Weighted","Poor or rather poor","Men","25-34","2022",3.9
"Weighted","Poor or rather poor","Men","25-34","2024",5.6
"Weighted","Poor or rather poor","Men","35-44","1990",6.3
"Weighted","Poor or rather poor","Men","35-44","1992",2.5
"Weighted","Poor or rather poor","Men","35-44","1994",6.0
"Weighted","Poor or rather poor","Men","35-44","1996",8.1
"Weighted","Poor or rather poor","Men","35-44","1998",8.3
"Weighted","Poor or rather poor","Men","35-44","2000",5.0
"Weighted","Poor or rather poor","Men","35-44","2002",11.9
"Weighted","Poor or rather poor","Men","35-44","2004",10.0
"Weighted","Poor or rather poor","Men","35-44","2006",6.3
"Weighted","Poor or rather poor","Men","35-44","2008",5.5
"Weighted","Poor or rather poor","Men","35-44","2010",11.9
"Weighted","Poor or rather poor","Men","35-44","2012",4.8
"Weighted","Poor or rather poor","Men","35-44","2014",10.9
"Weighted","Poor or rather poor","Men","35-44","2016",6.2
"Weighted","Poor or rather poor","Men","35-44","2018",8.0
"Weighted","Poor or rather poor","Men","35-44","2020",6.8
"Weighted","Poor or rather poor","Men","35-44","2022",8.5
"Weighted","Poor or rather poor","Men","35-44","2024",8.0
"Weighted","Poor or rather poor","Men","45-54","1990",14.5
"Weighted","Poor or rather poor","Men","45-54","1992",9.5
"Weighted","Poor or rather poor","Men","45-54","1994",13.8
"Weighted","Poor or rather poor","Men","45-54","1996",15.1
"Weighted","Poor or rather poor","Men","45-54","1998",12.4
"Weighted","Poor or rather poor","Men","45-54","2000",16.1
"Weighted","Poor or rather poor","Men","45-54","2002",14.1
"Weighted","Poor or rather poor","Men","45-54","2004",14.5
"Weighted","Poor or rather poor","Men","45-54","2006",15.8
"Weighted","Poor or rather poor","Men","45-54","2008",13.4
"Weighted","Poor or rather poor","Men","45-54","2010",17.3
"Weighted","Poor or rather poor","Men","45-54","2012",17.1
"Weighted","Poor or rather poor","Men","45-54","2014",11.4
"Weighted","Poor or rather poor","Men","45-54","2016",11.0
"Weighted","Poor or rather poor","Men","45-54","2018",12.7
"Weighted","Poor or rather poor","Men","45-54","2020",14.4
"Weighted","Poor or rather poor","Men","45-54","2022",8.9
"Weighted","Poor or rather poor","Men","45-54","2024",9.7
"Weighted","Poor or rather poor","Men","55-64","1990",17.5
"Weighted","Poor or rather poor","Men","55-64","1992",13.9
"Weighted","Poor or rather poor","Men","55-64","1994",11.9
"Weighted","Poor or rather poor","Men","55-64","1996",21.7
"Weighted","Poor or rather poor","Men","55-64","1998",18.4
"Weighted","Poor or rather poor","Men","55-64","2000",16.3
"Weighted","Poor or rather poor","Men","55-64","2002",24.8
"Weighted","Poor or rather poor","Men","55-64","2004",28.0
"Weighted","Poor or rather poor","Men","55-64","2006",18.9
"Weighted","Poor or rather poor","Men","55-64","2008",24.7
"Weighted","Poor or rather poor","Men","55-64","2010",19.9
"Weighted","Poor or rather poor","Men","55-64","2012",25.3
"Weighted","Poor or rather poor","Men","55-64","2014",23.3
"Weighted","Poor or rather poor","Men","55-64","2016",21.3
"Weighted","Poor or rather poor","Men","55-64","2018",17.4
"Weighted","Poor or rather poor","Men","55-64","2020",20.2
"Weighted","Poor or rather poor","Men","55-64","2022",17.6
"Weighted","Poor or rather poor","Men","55-64","2024",18.4
"Weighted","Poor or rather poor","Women","All age groups (16-64)","1990",11.9
"Weighted","Poor or rather poor","Women","All age groups (16-64)","1992",8.9
"Weighted","Poor or rather poor","Women","All age groups (16-64)","1994",10.6
"Weighted","Poor or rather poor","Women","All age groups (16-64)","1996",10.8
"Weighted","Poor or rather poor","Women","All age groups (16-64)","1998",9.4
"Weighted","Poor or rather poor","Women","All age groups (16-64)","2000",11.2
"Weighted","Poor or rather poor","Women","All age groups (16-64)","2002",9.7
"Weighted","Poor or rather poor","Women","All age groups (16-64)","2004",10.3
"Weighted","Poor or rather poor","Women","All age groups (16-64)","2006",9.0
"Weighted","Poor or rather poor","Women","All age groups (16-64)","2008",7.8
"Weighted","Poor or rather poor","Women","All age groups (16-64)","2010",8.9
"Weighted","Poor or rather poor","Women","All age groups (16-64)","2012",9.1
"Weighted","Poor or rather poor","Women","All age groups (16-64)","2014",8.6
"Weighted","Poor or rather poor","Women","All age groups (16-64)","2016",8.5
"Weighted","Poor or rather poor","Women","All age groups (16-64)","2018",8.0
"Weighted","Poor or rather poor","Women","All age groups (16-64)","2020",8.4
"Weighted","Poor or rather poor","Women","All age groups (16-64)","2022",8.2
"Weighted","Poor or rather poor","Women","All age groups (16-64)","2024",8.5
"Weighted","Poor or rather poor","Women","16-24","1990",6.6
"Weighted","Poor or rather poor","Women","16-24","1992",3.6
"Weighted","Poor or rather poor","Women","16-24","1994",8.2
"Weighted","Poor or rather poor","Women","16-24","1996",4.9
"Weighted","Poor or rather poor","Women","16-24","1998",3.4
"Weighted","Poor or rather poor","Women","16-24","2000",3.7
"Weighted","Poor or rather poor","Women","16-24","2002",3.2
"Weighted","Poor or rather poor","Women","16-24","2004",4.7
"Weighted","Poor or rather poor","Women","16-24","2006",4.5
"Weighted","Poor or rather poor","Women","16-24","2008",2.4
"Weighted","Poor or rather poor","Women","16-24","2010",3.3
"Weighted","Poor or rather poor","Women","16-24","2012",1.3
"Weighted","Poor or rather poor","Women","16-24","2014",3.5
"Weighted","Poor or rather poor","Women","16-24","2016",1.6
"Weighted","Poor or rather poor","Women","16-24","2018",5.6
"Weighted","Poor or rather poor","Women","16-24","2020",3.8
"Weighted","Poor or rather poor","Women","16-24","2022",4.3
"Weighted","Poor or rather poor","Women","16-24","2024",5.8
"Weighted","Poor or rather poor","Women","25-34","1990",8.5
"Weighted","Poor or rather poor","Women","25-34","1992",3.6
"Weighted","Poor or rather poor","Women","25-34","1994",3.8
"Weighted","Poor or rather poor","Women","25-34","1996",7.7
"Weighted","Poor or rather poor","Women","25-34","1998",4.8
"Weighted","Poor or rather poor","Women","25-34","2000",4.7
"Weighted","Poor or rather poor","Women","25-34","2002",7.7
"Weighted","Poor or rather poor","Women","25-34","2004",3.9
"Weighted","Poor or rather poor","Women","25-34","2006",2.7
"Weighted","Poor or rather poor","Women","25-34","2008",2.7
"Weighted","Poor or rather poor","Women","25-34","2010",2.9
"Weighted","Poor or rather poor","Women","25-34","2012",4.8
"Weighted","Poor or rather poor","Women","25-34","2014",1.3
"Weighted","Poor or rather poor","Women","25-34","2016",5.7
"Weighted","Poor or rather poor","Women","25-34","2018",3.8
"Weighted","Poor or rather poor","Women","25-34","2020",3.7
"Weighted","Poor or rather poor","Women","25-34","2022",3.6
"Weighted","Poor or rather poor","Women","25-34","2024",7.0
"Weighted","Poor or rather poor","Women","35-44","1990",11.1
"Weighted","Poor or rather poor","Women","35-44","1992",9.3
"Weighted","Poor or rather poor","Women","35-44","1994",9.7
"Weighted","Poor or rather poor","Women","35-44","1996",7.9
"Weighted","Poor or rather poor","Women","35-44","1998",8.6
"Weighted","Poor or rather poor","Women","35-44","2000",9.0
"Weighted","Poor or rather poor","Women","35-44","2002",5.4
"Weighted","Poor or rather poor","Women","35-44","2004",8.7
"Weighted","Poor or rather poor","Women","35-44","2006",7.4
"Weighted","Poor or rather poor","Women","35-44","2008",6.2
"Weighted","Poor or rather poor","Women","35-44","2010",5.5
"Weighted","Poor or rather poor","Women","35-44","2012",5.8
"Weighted","Poor or rather poor","Women","35-44","2014",7.1
"Weighted","Poor or rather poor","Women","35-44","2016",5.0
"Weighted","Poor or rather poor","Women","35-44","2018",7.1
"Weighted","Poor or rather poor","Women","35-44","2020",4.8
"Weighted","Poor or rather poor","Women","35-44","2022",6.4
"Weighted","Poor or rather poor","Women","35-44","2024",6.1
"Weighted","Poor or rather poor","Women","45-54","1990",15.5
"Weighted","Poor or rather poor","Women","45-54","1992",15.3
"Weighted","Poor or rather poor","Women","45-54","1994",11.6
"Weighted","Poor or rather poor","Women","45-54","1996",15.1
"Weighted","Poor or rather poor","Women","45-54","1998",14.6
"Weighted","Poor or rather poor","Women","45-54","2000",18.4
"Weighted","Poor or rather poor","Women","45-54","2002",14.5
"Weighted","Poor or rather poor","Women","45-54","2004",14.5
"Weighted","Poor or rather poor","Women","45-54","2006",11.3
"Weighted","Poor or rather poor","Women","45-54","2008",10.6
"Weighted","Poor or rather poor","Women","45-54","2010",11.6
"Weighted","Poor or rather poor","Women","45-54","2012",11.4
"Weighted","Poor or rather poor","Women","45-54","2014",10.9
"Weighted","Poor or rather poor","Women","45-54","2016",10.5
"Weighted","Poor or rather poor","Women","45-54","2018",8.1
"Weighted","Poor or rather poor","Women","45-54","2020",9.0
"Weighted","Poor or rather poor","Women","45-54","2022",10.2
"Weighted","Poor or rather poor","Women","45-54","2024",8.5
"Weighted","Poor or rather poor","Women","55-64","1990",16.9
"Weighted","Poor or rather poor","Women","55-64","1992",13.4
"Weighted","Poor or rather poor","Women","55-64","1994",20.0
"Weighted","Poor or rather poor","Women","55-64","1996",18.2
"Weighted","Poor or rather poor","Women","55-64","1998",15.4
"Weighted","Poor or rather poor","Women","55-64","2000",19.8
"Weighted","Poor or rather poor","Women","55-64","2002",17.5
"Weighted","Poor or rather poor","Women","55-64","2004",20.1
"Weighted","Poor or rather poor","Women","55-64","2006",19.6
"Weighted","Poor or rather poor","Women","55-64","2008",17.3
"Weighted","Poor or rather poor","Women","55-64","2010",20.4
"Weighted","Poor or rather poor","Women","55-64","2012",19.8
"Weighted","Poor or rather poor","Women","55-64","2014",18.2
"Weighted","Poor or rather poor","Women","55-64","2016",17.1
"Weighted","Poor or rather poor","Women","55-64","2018",14.3
"Weighted","Poor or rather poor","Women","55-64","2020",18.3
"Weighted","Poor or rather poor","Women","55-64","2022",14.4
"Weighted","Poor or rather poor","Women","55-64","2024",14.6
