"Educational level","Economical activity","Year","Women given birth"
"Secondary education","Conscript","2000",0
"Secondary education","Conscript","2001",0
"Secondary education","Conscript","2002",0
"Secondary education","Conscript","2003",0
"Secondary education","Conscript","2004",0
"Secondary education","Conscript","2005",0
"Secondary education","Conscript","2006",0
"Secondary education","Conscript","2007",0
"Secondary education","Conscript","2008",0
"Secondary education","Conscript","2009",0
"Secondary education","Conscript","2010",0
"Secondary education","Conscript","2011",0
"Secondary education","Conscript","2012",0
"Secondary education","Conscript","2013",0
"Secondary education","Conscript","2014",0
"Secondary education","Conscript","2015",0
"Secondary education","Conscript","2016",1
"Secondary education","Conscript","2017",0
"Secondary education","Conscript","2018",0
"Secondary education","Conscript","2019",0
"Secondary education","Conscript","2020",0
"Secondary education","Conscript","2021",0
"Secondary education","Conscript","2022",1
"Secondary education","Conscript","2023",0
"Secondary education","Conscript","2024",0
"Secondary education","In prison","1992",0
"Secondary education","In prison","1993",0
"Secondary education","In prison","1994",1
"Secondary education","In prison","1995",0
"Secondary education","In prison","1996",1
"Secondary education","In prison","1997",0
"Secondary education","In prison","1998",1
"Secondary education","In prison","1999",1
"Secondary education","In prison","2000",0
"Secondary education","In prison","2001",1
"Secondary education","In prison","2002",5
"Secondary education","In prison","2003",1
"Secondary education","In prison","2004",0
"Secondary education","In prison","2005",0
"Secondary education","In prison","2006",2
"Secondary education","In prison","2007",1
"Secondary education","In prison","2008",2
"Secondary education","In prison","2009",1
"Secondary education","In prison","2010",0
"Secondary education","In prison","2011",4
"Secondary education","In prison","2012",0
"Secondary education","In prison","2013",1
"Secondary education","In prison","2014",0
"Secondary education","In prison","2015",2
"Secondary education","In prison","2016",1
"Secondary education","In prison","2017",0
"Secondary education","In prison","2018",0
"Secondary education","In prison","2019",0
"Secondary education","In prison","2020",0
"Secondary education","In prison","2021",0
"Secondary education","In prison","2022",0
"Secondary education","In prison","2023",1
"Secondary education","In prison","2024",0
"Secondary education","Student, university student","1992",620
"Secondary education","Student, university student","1993",553
"Secondary education","Student, university student","1994",478
"Secondary education","Student, university student","1995",416
"Secondary education","Student, university student","1996",424
"Secondary education","Student, university student","1997",409
"Secondary education","Student, university student","1998",450
"Secondary education","Student, university student","1999",517
"Secondary education","Student, university student","2000",562
"Secondary education","Student, university student","2001",626
"Secondary education","Student, university student","2002",579
"Secondary education","Student, university student","2003",597
"Secondary education","Student, university student","2004",640
"Secondary education","Student, university student","2005",577
"Secondary education","Student, university student","2006",528
"Secondary education","Student, university student","2007",417
"Secondary education","Student, university student","2008",426
"Secondary education","Student, university student","2009",420
"Secondary education","Student, university student","2010",417
"Secondary education","Student, university student","2011",386
"Secondary education","Student, university student","2012",332
"Secondary education","Student, university student","2013",295
"Secondary education","Student, university student","2014",251
"Secondary education","Student, university student","2015",224
"Secondary education","Student, university student","2016",182
"Secondary education","Student, university student","2017",140
"Secondary education","Student, university student","2018",142
"Secondary education","Student, university student","2019",111
"Secondary education","Student, university student","2020",108
"Secondary education","Student, university student","2021",105
"Secondary education","Student, university student","2022",100
"Secondary education","Student, university student","2023",71
"Secondary education","Student, university student","2024",64
"Secondary education","Retired, person incapable of work","1992",2
"Secondary education","Retired, person incapable of work","1993",14
"Secondary education","Retired, person incapable of work","1994",17
"Secondary education","Retired, person incapable of work","1995",10
"Secondary education","Retired, person incapable of work","1996",16
"Secondary education","Retired, person incapable of work","1997",19
"Secondary education","Retired, person incapable of work","1998",22
"Secondary education","Retired, person incapable of work","1999",19
"Secondary education","Retired, person incapable of work","2000",25
"Secondary education","Retired, person incapable of work","2001",19
"Secondary education","Retired, person incapable of work","2002",17
"Secondary education","Retired, person incapable of work","2003",14
"Secondary education","Retired, person incapable of work","2004",10
"Secondary education","Retired, person incapable of work","2005",11
"Secondary education","Retired, person incapable of work","2006",14
"Secondary education","Retired, person incapable of work","2007",12
"Secondary education","Retired, person incapable of work","2008",8
"Secondary education","Retired, person incapable of work","2009",14
"Secondary education","Retired, person incapable of work","2010",14
"Secondary education","Retired, person incapable of work","2011",15
"Secondary education","Retired, person incapable of work","2012",19
"Secondary education","Retired, person incapable of work","2013",16
"Secondary education","Retired, person incapable of work","2014",8
"Secondary education","Retired, person incapable of work","2015",9
"Secondary education","Retired, person incapable of work","2016",14
"Secondary education","Retired, person incapable of work","2017",17
"Secondary education","Retired, person incapable of work","2018",10
"Secondary education","Retired, person incapable of work","2019",7
"Secondary education","Retired, person incapable of work","2020",11
"Secondary education","Retired, person incapable of work","2021",5
"Secondary education","Retired, person incapable of work","2022",6
"Secondary education","Retired, person incapable of work","2023",6
"Secondary education","Retired, person incapable of work","2024",5
"Secondary education","Staying at home","1992",1191
"Secondary education","Staying at home","1993",1567
"Secondary education","Staying at home","1994",1248
"Secondary education","Staying at home","1995",1093
"Secondary education","Staying at home","1996",1018
"Secondary education","Staying at home","1997",1075
"Secondary education","Staying at home","1998",1056
"Secondary education","Staying at home","1999",1005
"Secondary education","Staying at home","2000",1099
"Secondary education","Staying at home","2001",914
"Secondary education","Staying at home","2002",919
"Secondary education","Staying at home","2003",868
"Secondary education","Staying at home","2004",830
"Secondary education","Staying at home","2005",701
"Secondary education","Staying at home","2006",695
"Secondary education","Staying at home","2007",661
"Secondary education","Staying at home","2008",612
"Secondary education","Staying at home","2009",594
"Secondary education","Staying at home","2010",674
"Secondary education","Staying at home","2011",674
"Secondary education","Staying at home","2012",600
"Secondary education","Staying at home","2013",577
"Secondary education","Staying at home","2014",610
"Secondary education","Staying at home","2015",527
"Secondary education","Staying at home","2016",512
"Secondary education","Staying at home","2017",422
"Secondary education","Staying at home","2018",433
"Secondary education","Staying at home","2019",448
"Secondary education","Staying at home","2020",427
"Secondary education","Staying at home","2021",412
"Secondary education","Staying at home","2022",419
"Secondary education","Staying at home","2023",399
"Secondary education","Staying at home","2024",323
"Secondary education","Economical activity unknown","1992",73
"Secondary education","Economical activity unknown","1993",17
"Secondary education","Economical activity unknown","1994",9
"Secondary education","Economical activity unknown","1995",15
"Secondary education","Economical activity unknown","1996",4
"Secondary education","Economical activity unknown","1997",1
"Secondary education","Economical activity unknown","1998",3
"Secondary education","Economical activity unknown","1999",3
"Secondary education","Economical activity unknown","2000",0
"Secondary education","Economical activity unknown","2001",0
"Secondary education","Economical activity unknown","2002",1
"Secondary education","Economical activity unknown","2003",2
"Secondary education","Economical activity unknown","2004",4
"Secondary education","Economical activity unknown","2005",3
"Secondary education","Economical activity unknown","2006",3
"Secondary education","Economical activity unknown","2007",0
"Secondary education","Economical activity unknown","2008",2
"Secondary education","Economical activity unknown","2009",1
"Secondary education","Economical activity unknown","2010",0
"Secondary education","Economical activity unknown","2011",0
"Secondary education","Economical activity unknown","2012",0
"Secondary education","Economical activity unknown","2013",0
"Secondary education","Economical activity unknown","2014",1
"Secondary education","Economical activity unknown","2015",3
"Secondary education","Economical activity unknown","2016",2
"Secondary education","Economical activity unknown","2017",1
"Secondary education","Economical activity unknown","2018",2
"Secondary education","Economical activity unknown","2019",0
"Secondary education","Economical activity unknown","2020",3
"Secondary education","Economical activity unknown","2021",1
"Secondary education","Economical activity unknown","2022",3
"Secondary education","Economical activity unknown","2023",2
"Secondary education","Economical activity unknown","2024",1
"Vocational education","Economical activity total","1992",6086
"Vocational education","Economical activity total","1993",4721
"Vocational education","Economical activity total","1994",4528
"Vocational education","Economical activity total","1995",4385
"Vocational education","Economical activity total","1996",4264
"Vocational education","Economical activity total","1997",3959
"Vocational education","Economical activity total","1998",3878
"Vocational education","Economical activity total","1999",3829
"Vocational education","Economical activity total","2000",4092
"Vocational education","Economical activity total","2001",3894
"Vocational education","Economical activity total","2002",4066
"Vocational education","Economical activity total","2003",3834
"Vocational education","Economical activity total","2004",3999
"Vocational education","Economical activity total","2005",4080
"Vocational education","Economical activity total","2006",3984
"Vocational education","Economical activity total","2007",4072
"Vocational education","Economical activity total","2008",3953
"Vocational education","Economical activity total","2009",3707
"Vocational education","Economical activity total","2010",3603
"Vocational education","Economical activity total","2011",3341
"Vocational education","Economical activity total","2012",3136
"Vocational education","Economical activity total","2013",2960
"Vocational education","Economical activity total","2014",2940
"Vocational education","Economical activity total","2015",2873
"Vocational education","Economical activity total","2016",2827
"Vocational education","Economical activity total","2017",2809
"Vocational education","Economical activity total","2018",2957
"Vocational education","Economical activity total","2019",2788
"Vocational education","Economical activity total","2020",2603
"Vocational education","Economical activity total","2021",2460
"Vocational education","Economical activity total","2022",2065
"Vocational education","Economical activity total","2023",1919
"Vocational education","Economical activity total","2024",1743
"Vocational education","Employed","1992",5463
"Vocational education","Employed","1993",3766
"Vocational education","Employed","1994",3487
"Vocational education","Employed","1995",3358
"Vocational education","Employed","1996",3257
"Vocational education","Employed","1997",2966
"Vocational education","Employed","1998",2934
"Vocational education","Employed","1999",2903
"Vocational education","Employed","2000",3047
"Vocational education","Employed","2001",2904
"Vocational education","Employed","2002",3044
"Vocational education","Employed","2003",2949
"Vocational education","Employed","2004",3137
"Vocational education","Employed","2005",3184
"Vocational education","Employed","2006",3211
"Vocational education","Employed","2007",3339
"Vocational education","Employed","2008",3284
"Vocational education","Employed","2009",2984
"Vocational education","Employed","2010",2677
"Vocational education","Employed","2011",2405
"Vocational education","Employed","2012",2295
"Vocational education","Employed","2013",2204
"Vocational education","Employed","2014",2192
"Vocational education","Employed","2015",2215
"Vocational education","Employed","2016",2199
"Vocational education","Employed","2017",2267
"Vocational education","Employed","2018",2361
"Vocational education","Employed","2019",2254
"Vocational education","Employed","2020",2067
"Vocational education","Employed","2021",1910
"Vocational education","Employed","2022",1601
"Vocational education","Employed","2023",1484
"Vocational education","Employed","2024",1340
"Vocational education","Unemployed, not working","1992",19
"Vocational education","Unemployed, not working","1993",129
"Vocational education","Unemployed, not working","1994",291
"Vocational education","Unemployed, not working","1995",249
"Vocational education","Unemployed, not working","1996",288
"Vocational education","Unemployed, not working","1997",290
"Vocational education","Unemployed, not working","1998",271
"Vocational education","Unemployed, not working","1999",250
"Vocational education","Unemployed, not working","2000",287
"Vocational education","Unemployed, not working","2001",271
"Vocational education","Unemployed, not working","2002",288
"Vocational education","Unemployed, not working","2003",255
"Vocational education","Unemployed, not working","2004",225
"Vocational education","Unemployed, not working","2005",236
"Vocational education","Unemployed, not working","2006",149
"Vocational education","Unemployed, not working","2007",162
"Vocational education","Unemployed, not working","2008",130
"Vocational education","Unemployed, not working","2009",202
"Vocational education","Unemployed, not working","2010",319
"Vocational education","Unemployed, not working","2011",290
"Vocational education","Unemployed, not working","2012",276
"Vocational education","Unemployed, not working","2013",223
"Vocational education","Unemployed, not working","2014",213
"Vocational education","Unemployed, not working","2015",166
"Vocational education","Unemployed, not working","2016",166
"Vocational education","Unemployed, not working","2017",134
"Vocational education","Unemployed, not working","2018",161
"Vocational education","Unemployed, not working","2019",129
"Vocational education","Unemployed, not working","2020",129
"Vocational education","Unemployed, not working","2021",150
"Vocational education","Unemployed, not working","2022",114
"Vocational education","Unemployed, not working","2023",113
"Vocational education","Unemployed, not working","2024",114
"Vocational education","Conscript","1992",0
"Vocational education","Conscript","1993",0
"Vocational education","Conscript","1994",2
"Vocational education","Conscript","1995",0
"Vocational education","Conscript","1996",0
"Vocational education","Conscript","1997",0
"Vocational education","Conscript","1998",0
"Vocational education","Conscript","1999",0
"Vocational education","Conscript","2000",0
"Vocational education","Conscript","2001",0
"Vocational education","Conscript","2002",0
"Vocational education","Conscript","2003",0
"Vocational education","Conscript","2004",0
"Vocational education","Conscript","2005",0
"Vocational education","Conscript","2006",0
"Vocational education","Conscript","2007",0
"Vocational education","Conscript","2008",0
"Vocational education","Conscript","2009",0
"Vocational education","Conscript","2010",0
"Vocational education","Conscript","2011",1
"Vocational education","Conscript","2012",0
"Vocational education","Conscript","2013",0
"Vocational education","Conscript","2014",0
"Vocational education","Conscript","2015",0
"Vocational education","Conscript","2016",0
"Vocational education","Conscript","2017",0
"Vocational education","Conscript","2018",0
"Vocational education","Conscript","2019",0
"Vocational education","Conscript","2020",0
"Vocational education","Conscript","2021",0
"Vocational education","Conscript","2022",1
"Vocational education","Conscript","2023",0
"Vocational education","Conscript","2024",0
"Vocational education","In prison","1992",0
"Vocational education","In prison","1993",1
"Vocational education","In prison","1994",3
"Vocational education","In prison","1995",0
"Vocational education","In prison","1996",0
"Vocational education","In prison","1997",1
"Vocational education","In prison","1998",1
"Vocational education","In prison","1999",0
"Vocational education","In prison","2000",0
"Vocational education","In prison","2001",1
"Vocational education","In prison","2002",0
"Vocational education","In prison","2003",0
"Vocational education","In prison","2004",0
"Vocational education","In prison","2005",0
"Vocational education","In prison","2006",1
"Vocational education","In prison","2007",0
"Vocational education","In prison","2008",0
"Vocational education","In prison","2009",0
"Vocational education","In prison","2010",0
"Vocational education","In prison","2011",1
"Vocational education","In prison","2012",0
"Vocational education","In prison","2013",1
"Vocational education","In prison","2014",0
"Vocational education","In prison","2015",0
"Vocational education","In prison","2016",0
"Vocational education","In prison","2017",0
"Vocational education","In prison","2018",0
"Vocational education","In prison","2019",0
"Vocational education","In prison","2020",0
"Vocational education","In prison","2021",0
"Vocational education","In prison","2022",0
"Vocational education","In prison","2023",1
"Vocational education","In prison","2024",0
"Vocational education","Student, university student","1992",80
"Vocational education","Student, university student","1993",55
"Vocational education","Student, university student","1994",52
"Vocational education","Student, university student","1995",68
"Vocational education","Student, university student","1996",64
"Vocational education","Student, university student","1997",44
"Vocational education","Student, university student","1998",71
"Vocational education","Student, university student","1999",96
"Vocational education","Student, university student","2000",122
"Vocational education","Student, university student","2001",118
"Vocational education","Student, university student","2002",122
"Vocational education","Student, university student","2003",92
"Vocational education","Student, university student","2004",84
"Vocational education","Student, university student","2005",92
"Vocational education","Student, university student","2006",87
"Vocational education","Student, university student","2007",63
"Vocational education","Student, university student","2008",58
"Vocational education","Student, university student","2009",55
"Vocational education","Student, university student","2010",52
"Vocational education","Student, university student","2011",60
"Vocational education","Student, university student","2012",65
"Vocational education","Student, university student","2013",48
"Vocational education","Student, university student","2014",44
"Vocational education","Student, university student","2015",49
"Vocational education","Student, university student","2016",39
"Vocational education","Student, university student","2017",29
"Vocational education","Student, university student","2018",34
"Vocational education","Student, university student","2019",25
"Vocational education","Student, university student","2020",25
"Vocational education","Student, university student","2021",37
"Vocational education","Student, university student","2022",28
"Vocational education","Student, university student","2023",22
"Vocational education","Student, university student","2024",18
"Vocational education","Retired, person incapable of work","1992",4
"Vocational education","Retired, person incapable of work","1993",3
"Vocational education","Retired, person incapable of work","1994",6
"Vocational education","Retired, person incapable of work","1995",5
"Vocational education","Retired, person incapable of work","1996",8
"Vocational education","Retired, person incapable of work","1997",4
"Vocational education","Retired, person incapable of work","1998",6
"Vocational education","Retired, person incapable of work","1999",10
"Vocational education","Retired, person incapable of work","2000",10
"Vocational education","Retired, person incapable of work","2001",9
"Vocational education","Retired, person incapable of work","2002",16
"Vocational education","Retired, person incapable of work","2003",14
"Vocational education","Retired, person incapable of work","2004",15
"Vocational education","Retired, person incapable of work","2005",9
"Vocational education","Retired, person incapable of work","2006",11
"Vocational education","Retired, person incapable of work","2007",14
"Vocational education","Retired, person incapable of work","2008",15
"Vocational education","Retired, person incapable of work","2009",9
"Vocational education","Retired, person incapable of work","2010",7
"Vocational education","Retired, person incapable of work","2011",19
"Vocational education","Retired, person incapable of work","2012",21
"Vocational education","Retired, person incapable of work","2013",16
"Vocational education","Retired, person incapable of work","2014",19
"Vocational education","Retired, person incapable of work","2015",11
"Vocational education","Retired, person incapable of work","2016",13
"Vocational education","Retired, person incapable of work","2017",10
"Vocational education","Retired, person incapable of work","2018",12
"Vocational education","Retired, person incapable of work","2019",7
"Vocational education","Retired, person incapable of work","2020",5
"Vocational education","Retired, person incapable of work","2021",8
"Vocational education","Retired, person incapable of work","2022",3
"Vocational education","Retired, person incapable of work","2023",4
"Vocational education","Retired, person incapable of work","2024",4
"Vocational education","Staying at home","1992",477
"Vocational education","Staying at home","1993",757
"Vocational education","Staying at home","1994",685
"Vocational education","Staying at home","1995",697
"Vocational education","Staying at home","1996",640
"Vocational education","Staying at home","1997",651
"Vocational education","Staying at home","1998",594
"Vocational education","Staying at home","1999",567
"Vocational education","Staying at home","2000",626
"Vocational education","Staying at home","2001",591
"Vocational education","Staying at home","2002",596
"Vocational education","Staying at home","2003",524
"Vocational education","Staying at home","2004",538
"Vocational education","Staying at home","2005",558
"Vocational education","Staying at home","2006",525
"Vocational education","Staying at home","2007",493
"Vocational education","Staying at home","2008",465
"Vocational education","Staying at home","2009",457
"Vocational education","Staying at home","2010",548
"Vocational education","Staying at home","2011",565
"Vocational education","Staying at home","2012",477
"Vocational education","Staying at home","2013",466
"Vocational education","Staying at home","2014",471
"Vocational education","Staying at home","2015",432
"Vocational education","Staying at home","2016",409
"Vocational education","Staying at home","2017",368
"Vocational education","Staying at home","2018",389
"Vocational education","Staying at home","2019",370
"Vocational education","Staying at home","2020",377
"Vocational education","Staying at home","2021",353
"Vocational education","Staying at home","2022",316
"Vocational education","Staying at home","2023",294
"Vocational education","Staying at home","2024",264
"Vocational education","Economical activity unknown","1992",43
"Vocational education","Economical activity unknown","1993",10
"Vocational education","Economical activity unknown","1994",2
"Vocational education","Economical activity unknown","1995",8
"Vocational education","Economical activity unknown","1996",7
"Vocational education","Economical activity unknown","1997",3
"Vocational education","Economical activity unknown","1998",1
"Vocational education","Economical activity unknown","1999",3
"Vocational education","Economical activity unknown","2000",0
"Vocational education","Economical activity unknown","2001",0
"Vocational education","Economical activity unknown","2002",0
"Vocational education","Economical activity unknown","2003",0
"Vocational education","Economical activity unknown","2004",0
"Vocational education","Economical activity unknown","2005",1
"Vocational education","Economical activity unknown","2006",0
"Vocational education","Economical activity unknown","2007",1
"Vocational education","Economical activity unknown","2008",1
"Vocational education","Economical activity unknown","2009",0
"Vocational education","Economical activity unknown","2010",0
"Vocational education","Economical activity unknown","2011",0
"Vocational education","Economical activity unknown","2012",2
"Vocational education","Economical activity unknown","2013",2
"Vocational education","Economical activity unknown","2014",1
"Vocational education","Economical activity unknown","2015",0
"Vocational education","Economical activity unknown","2016",1
"Vocational education","Economical activity unknown","2017",1
"Vocational education","Economical activity unknown","2018",0
"Vocational education","Economical activity unknown","2019",3
"Vocational education","Economical activity unknown","2020",0
"Vocational education","Economical activity unknown","2021",2
"Vocational education","Economical activity unknown","2022",2
"Vocational education","Economical activity unknown","2023",1
"Vocational education","Economical activity unknown","2024",3
"Professional higher education","Economical activity total","1992",0
"Professional higher education","Economical activity total","1993",2
"Professional higher education","Economical activity total","1994",199
"Professional higher education","Economical activity total","1995",136
"Professional higher education","Economical activity total","1996",165
"Professional higher education","Economical activity total","1997",134
"Professional higher education","Economical activity total","1998",127
"Professional higher education","Economical activity total","1999",59
"Professional higher education","Economical activity total","2000",136
"Professional higher education","Economical activity total","2001",125
"Professional higher education","Economical activity total","2002",131
"Professional higher education","Economical activity total","2003",272
"Professional higher education","Economical activity total","2004",310
"Professional higher education","Economical activity total","2005",511
"Professional higher education","Economical activity total","2006",591
"Professional higher education","Economical activity total","2007",728
"Professional higher education","Economical activity total","2008",905
"Professional higher education","Economical activity total","2009",1106
"Professional higher education","Economical activity total","2010",1300
"Professional higher education","Economical activity total","2011",1273
"Professional higher education","Economical activity total","2012",1163
"Professional higher education","Economical activity total","2013",1091
"Professional higher education","Economical activity total","2014",1098
"Professional higher education","Economical activity total","2015",1267
"Professional higher education","Economical activity total","2016",1236
"Professional higher education","Economical activity total","2017",1196
"Professional higher education","Economical activity total","2018",1336
"Professional higher education","Economical activity total","2019",1261
"Professional higher education","Economical activity total","2020",1159
"Professional higher education","Economical activity total","2021",1298
"Professional higher education","Economical activity total","2022",1131
"Professional higher education","Economical activity total","2023",1001
"Professional higher education","Economical activity total","2024",856
"Professional higher education","Employed","1992",0
"Professional higher education","Employed","1993",2
"Professional higher education","Employed","1994",154
"Professional higher education","Employed","1995",111
"Professional higher education","Employed","1996",136
"Professional higher education","Employed","1997",115
"Professional higher education","Employed","1998",107
"Professional higher education","Employed","1999",49
"Professional higher education","Employed","2000",114
"Professional higher education","Employed","2001",102
"Professional higher education","Employed","2002",107
"Professional higher education","Employed","2003",239
"Professional higher education","Employed","2004",265
"Professional higher education","Employed","2005",448
"Professional higher education","Employed","2006",541
"Professional higher education","Employed","2007",670
"Professional higher education","Employed","2008",835
"Professional higher education","Employed","2009",1017
"Professional higher education","Employed","2010",1120
"Professional higher education","Employed","2011",1108
"Professional higher education","Employed","2012",1004
"Professional higher education","Employed","2013",955
"Professional higher education","Employed","2014",965
"Professional higher education","Employed","2015",1129
"Professional higher education","Employed","2016",1093
"Professional higher education","Employed","2017",1063
"Professional higher education","Employed","2018",1212
"Professional higher education","Employed","2019",1122
"Professional higher education","Employed","2020",1019
"Professional higher education","Employed","2021",1168
"Professional higher education","Employed","2022",1019
"Professional higher education","Employed","2023",878
"Professional higher education","Employed","2024",785
"Professional higher education","Unemployed, not working","1992",0
"Professional higher education","Unemployed, not working","1993",0
"Professional higher education","Unemployed, not working","1994",19
"Professional higher education","Unemployed, not working","1995",9
"Professional higher education","Unemployed, not working","1996",16
"Professional higher education","Unemployed, not working","1997",8
"Professional higher education","Unemployed, not working","1998",5
"Professional higher education","Unemployed, not working","1999",3
"Professional higher education","Unemployed, not working","2000",7
"Professional higher education","Unemployed, not working","2001",6
"Professional higher education","Unemployed, not working","2002",9
"Professional higher education","Unemployed, not working","2003",13
"Professional higher education","Unemployed, not working","2004",9
"Professional higher education","Unemployed, not working","2005",7
"Professional higher education","Unemployed, not working","2006",8
"Professional higher education","Unemployed, not working","2007",6
"Professional higher education","Unemployed, not working","2008",8
"Professional higher education","Unemployed, not working","2009",12
"Professional higher education","Unemployed, not working","2010",43
"Professional higher education","Unemployed, not working","2011",41
"Professional higher education","Unemployed, not working","2012",41
"Professional higher education","Unemployed, not working","2013",30
"Professional higher education","Unemployed, not working","2014",32
"Professional higher education","Unemployed, not working","2015",25
"Professional higher education","Unemployed, not working","2016",26
"Professional higher education","Unemployed, not working","2017",27
"Professional higher education","Unemployed, not working","2018",24
"Professional higher education","Unemployed, not working","2019",22
"Professional higher education","Unemployed, not working","2020",23
"Professional higher education","Unemployed, not working","2021",28
"Professional higher education","Unemployed, not working","2022",20
"Professional higher education","Unemployed, not working","2023",24
"Professional higher education","Unemployed, not working","2024",13
"Professional higher education","Conscript","1992",0
"Professional higher education","Conscript","1993",0
"Professional higher education","Conscript","1994",1
"Professional higher education","Conscript","1995",0
"Professional higher education","Conscript","1996",0
"Professional higher education","Conscript","1997",0
"Professional higher education","Conscript","1998",0
"Professional higher education","Conscript","1999",0
"Professional higher education","Conscript","2000",0
"Professional higher education","Conscript","2001",0
"Professional higher education","Conscript","2002",0
"Professional higher education","Conscript","2003",0
"Professional higher education","Conscript","2004",0
"Professional higher education","Conscript","2005",0
"Professional higher education","Conscript","2006",0
"Professional higher education","Conscript","2007",0
"Professional higher education","Conscript","2008",0
"Professional higher education","Conscript","2009",0
"Professional higher education","Conscript","2010",0
"Professional higher education","Conscript","2011",0
"Professional higher education","Conscript","2012",0
"Professional higher education","Conscript","2013",0
"Professional higher education","Conscript","2014",0
"Professional higher education","Conscript","2015",0
"Professional higher education","Conscript","2016",0
"Professional higher education","Conscript","2017",0
"Professional higher education","Conscript","2018",0
"Professional higher education","Conscript","2019",0
"Professional higher education","Conscript","2020",0
"Professional higher education","Conscript","2021",0
"Professional higher education","Conscript","2022",0
"Professional higher education","Conscript","2023",0
"Professional higher education","Conscript","2024",0
"Professional higher education","In prison","1992",0
"Professional higher education","In prison","1993",0
"Professional higher education","In prison","1994",0
"Professional higher education","In prison","1995",0
"Professional higher education","In prison","1996",0
"Professional higher education","In prison","1997",0
"Professional higher education","In prison","1998",0
"Professional higher education","In prison","1999",0
"Professional higher education","In prison","2000",0
"Professional higher education","In prison","2001",0
"Professional higher education","In prison","2002",0
"Professional higher education","In prison","2003",0
"Professional higher education","In prison","2004",0
"Professional higher education","In prison","2005",0
"Professional higher education","In prison","2006",0
"Professional higher education","In prison","2007",0
"Professional higher education","In prison","2008",0
"Professional higher education","In prison","2009",0
"Professional higher education","In prison","2010",0
"Professional higher education","In prison","2011",0
"Professional higher education","In prison","2012",0
"Professional higher education","In prison","2013",0
"Professional higher education","In prison","2014",0
"Professional higher education","In prison","2015",0
"Professional higher education","In prison","2016",0
"Professional higher education","In prison","2017",0
"Professional higher education","In prison","2018",0
"Professional higher education","In prison","2019",0
"Professional higher education","In prison","2020",1
"Professional higher education","In prison","2021",0
"Professional higher education","In prison","2022",0
"Professional higher education","In prison","2023",1
"Professional higher education","In prison","2024",1
"Professional higher education","Student, university student","1992",0
"Professional higher education","Student, university student","1993",0
"Professional higher education","Student, university student","1994",4
"Professional higher education","Student, university student","1995",5
"Professional higher education","Student, university student","1996",1
"Professional higher education","Student, university student","1997",2
"Professional higher education","Student, university student","1998",2
"Professional higher education","Student, university student","1999",2
"Professional higher education","Student, university student","2000",2
"Professional higher education","Student, university student","2001",3
"Professional higher education","Student, university student","2002",4
"Professional higher education","Student, university student","2003",5
"Professional higher education","Student, university student","2004",7
"Professional higher education","Student, university student","2005",7
"Professional higher education","Student, university student","2006",3
"Professional higher education","Student, university student","2007",7
"Professional higher education","Student, university student","2008",12
"Professional higher education","Student, university student","2009",10
"Professional higher education","Student, university student","2010",13
"Professional higher education","Student, university student","2011",16
"Professional higher education","Student, university student","2012",16
"Professional higher education","Student, university student","2013",17
"Professional higher education","Student, university student","2014",12
"Professional higher education","Student, university student","2015",18
"Professional higher education","Student, university student","2016",25
"Professional higher education","Student, university student","2017",17
"Professional higher education","Student, university student","2018",22
"Professional higher education","Student, university student","2019",7
"Professional higher education","Student, university student","2020",14
"Professional higher education","Student, university student","2021",8
"Professional higher education","Student, university student","2022",14
"Professional higher education","Student, university student","2023",14
"Professional higher education","Student, university student","2024",4
"Professional higher education","Retired, person incapable of work","1992",0
"Professional higher education","Retired, person incapable of work","1993",0
"Professional higher education","Retired, person incapable of work","1994",0
"Professional higher education","Retired, person incapable of work","1995",0
"Professional higher education","Retired, person incapable of work","1996",0
"Professional higher education","Retired, person incapable of work","1997",0
"Professional higher education","Retired, person incapable of work","1998",0
"Professional higher education","Retired, person incapable of work","1999",0
"Professional higher education","Retired, person incapable of work","2000",0
"Professional higher education","Retired, person incapable of work","2001",0
"Professional higher education","Retired, person incapable of work","2002",0
"Professional higher education","Retired, person incapable of work","2003",0
"Professional higher education","Retired, person incapable of work","2004",0
"Professional higher education","Retired, person incapable of work","2005",0
"Professional higher education","Retired, person incapable of work","2006",0
"Professional higher education","Retired, person incapable of work","2007",0
"Professional higher education","Retired, person incapable of work","2008",0
"Professional higher education","Retired, person incapable of work","2009",2
"Professional higher education","Retired, person incapable of work","2010",3
"Professional higher education","Retired, person incapable of work","2011",0
"Professional higher education","Retired, person incapable of work","2012",1
"Professional higher education","Retired, person incapable of work","2013",2
"Professional higher education","Retired, person incapable of work","2014",0
"Professional higher education","Retired, person incapable of work","2015",1
"Professional higher education","Retired, person incapable of work","2016",0
"Professional higher education","Retired, person incapable of work","2017",1
"Professional higher education","Retired, person incapable of work","2018",0
"Professional higher education","Retired, person incapable of work","2019",3
"Professional higher education","Retired, person incapable of work","2020",1
"Professional higher education","Retired, person incapable of work","2021",1
"Professional higher education","Retired, person incapable of work","2022",1
"Professional higher education","Retired, person incapable of work","2023",3
"Professional higher education","Retired, person incapable of work","2024",1
"Professional higher education","Staying at home","1992",0
"Professional higher education","Staying at home","1993",0
"Professional higher education","Staying at home","1994",21
"Professional higher education","Staying at home","1995",11
"Professional higher education","Staying at home","1996",12
"Professional higher education","Staying at home","1997",9
"Professional higher education","Staying at home","1998",13
"Professional higher education","Staying at home","1999",5
"Professional higher education","Staying at home","2000",13
