"Type of data","Self-estimated health","Sex","Education","Year","Self-estimated health"
"Weighted","Poor or rather poor","Men and women","Secondary education","2016",7.9
"Weighted","Poor or rather poor","Men and women","Secondary education","2018",8.0
"Weighted","Poor or rather poor","Men and women","Secondary education","2020",10.8
"Weighted","Poor or rather poor","Men and women","Secondary education","2022",9.3
"Weighted","Poor or rather poor","Men and women","Secondary education","2024",11.8
"Weighted","Poor or rather poor","Men and women","Secondary-vocational education","1990",8.0
"Weighted","Poor or rather poor","Men and women","Secondary-vocational education","1992",6.9
"Weighted","Poor or rather poor","Men and women","Secondary-vocational education","1994",5.9
"Weighted","Poor or rather poor","Men and women","Secondary-vocational education","1996",6.7
"Weighted","Poor or rather poor","Men and women","Secondary-vocational education","1998",8.2
"Weighted","Poor or rather poor","Men and women","Secondary-vocational education","2000",9.5
"Weighted","Poor or rather poor","Men and women","Secondary-vocational education","2002",8.8
"Weighted","Poor or rather poor","Men and women","Secondary-vocational education","2004",9.6
"Weighted","Poor or rather poor","Men and women","Secondary-vocational education","2006",9.6
"Weighted","Poor or rather poor","Men and women","Secondary-vocational education","2008",9.3
"Weighted","Poor or rather poor","Men and women","Secondary-vocational education","2010",11.0
"Weighted","Poor or rather poor","Men and women","Secondary-vocational education","2012",10.8
"Weighted","Poor or rather poor","Men and women","Secondary-vocational education","2014",11.1
"Weighted","Poor or rather poor","Men and women","Secondary-vocational education","2016",12.6
"Weighted","Poor or rather poor","Men and women","Secondary-vocational education","2018",11.2
"Weighted","Poor or rather poor","Men and women","Secondary-vocational education","2020",11.5
"Weighted","Poor or rather poor","Men and women","Secondary-vocational education","2022",11.9
"Weighted","Poor or rather poor","Men and women","Secondary-vocational education","2024",10.9
"Weighted","Poor or rather poor","Men and women","Basic or lower education","1990",18.5
"Weighted","Poor or rather poor","Men and women","Basic or lower education","1992",12.6
"Weighted","Poor or rather poor","Men and women","Basic or lower education","1994",13.2
"Weighted","Poor or rather poor","Men and women","Basic or lower education","1996",15.5
"Weighted","Poor or rather poor","Men and women","Basic or lower education","1998",14.4
"Weighted","Poor or rather poor","Men and women","Basic or lower education","2000",12.6
"Weighted","Poor or rather poor","Men and women","Basic or lower education","2002",13.0
"Weighted","Poor or rather poor","Men and women","Basic or lower education","2004",17.8
"Weighted","Poor or rather poor","Men and women","Basic or lower education","2006",16.8
"Weighted","Poor or rather poor","Men and women","Basic or lower education","2008",12.6
"Weighted","Poor or rather poor","Men and women","Basic or lower education","2010",14.6
"Weighted","Poor or rather poor","Men and women","Basic or lower education","2012",14.6
"Weighted","Poor or rather poor","Men and women","Basic or lower education","2014",11.6
"Weighted","Poor or rather poor","Men and women","Basic or lower education","2016",12.9
"Weighted","Poor or rather poor","Men and women","Basic or lower education","2018",14.3
"Weighted","Poor or rather poor","Men and women","Basic or lower education","2020",16.8
"Weighted","Poor or rather poor","Men and women","Basic or lower education","2022",11.3
"Weighted","Poor or rather poor","Men and women","Basic or lower education","2024",9.9
"Weighted","Poor or rather poor","Men","Higher education","1990",5.8
"Weighted","Poor or rather poor","Men","Higher education","1992",4.0
"Weighted","Poor or rather poor","Men","Higher education","1994",11.0
"Weighted","Poor or rather poor","Men","Higher education","1996",5.4
"Weighted","Poor or rather poor","Men","Higher education","1998",8.2
"Weighted","Poor or rather poor","Men","Higher education","2000",3.6
"Weighted","Poor or rather poor","Men","Higher education","2002",11.2
"Weighted","Poor or rather poor","Men","Higher education","2004",7.2
"Weighted","Poor or rather poor","Men","Higher education","2006",5.0
"Weighted","Poor or rather poor","Men","Higher education","2008",5.8
"Weighted","Poor or rather poor","Men","Higher education","2010",4.6
"Weighted","Poor or rather poor","Men","Higher education","2012",7.7
"Weighted","Poor or rather poor","Men","Higher education","2014",5.3
"Weighted","Poor or rather poor","Men","Higher education","2016",4.9
"Weighted","Poor or rather poor","Men","Higher education","2018",5.6
"Weighted","Poor or rather poor","Men","Higher education","2020",3.1
"Weighted","Poor or rather poor","Men","Higher education","2022",5.2
"Weighted","Poor or rather poor","Men","Higher education","2024",5.8
"Weighted","Poor or rather poor","Men","Secondary education","1990",4.2
"Weighted","Poor or rather poor","Men","Secondary education","1992",5.5
"Weighted","Poor or rather poor","Men","Secondary education","1994",3.9
"Weighted","Poor or rather poor","Men","Secondary education","1996",9.4
"Weighted","Poor or rather poor","Men","Secondary education","1998",7.3
"Weighted","Poor or rather poor","Men","Secondary education","2000",12.4
"Weighted","Poor or rather poor","Men","Secondary education","2002",7.8
"Weighted","Poor or rather poor","Men","Secondary education","2004",10.5
"Weighted","Poor or rather poor","Men","Secondary education","2006",8.8
"Weighted","Poor or rather poor","Men","Secondary education","2008",8.9
"Weighted","Poor or rather poor","Men","Secondary education","2010",11.7
"Weighted","Poor or rather poor","Men","Secondary education","2012",10.7
"Weighted","Poor or rather poor","Men","Secondary education","2014",10.5
"Weighted","Poor or rather poor","Men","Secondary education","2016",7.7
"Weighted","Poor or rather poor","Men","Secondary education","2018",9.3
"Weighted","Poor or rather poor","Men","Secondary education","2020",9.6
"Weighted","Poor or rather poor","Men","Secondary education","2022",9.0
"Weighted","Poor or rather poor","Men","Secondary education","2024",10.7
"Weighted","Poor or rather poor","Men","Secondary-vocational education","1990",5.6
"Weighted","Poor or rather poor","Men","Secondary-vocational education","1992",5.7
"Weighted","Poor or rather poor","Men","Secondary-vocational education","1994",5.0
"Weighted","Poor or rather poor","Men","Secondary-vocational education","1996",6.6
"Weighted","Poor or rather poor","Men","Secondary-vocational education","1998",9.1
"Weighted","Poor or rather poor","Men","Secondary-vocational education","2000",4.5
"Weighted","Poor or rather poor","Men","Secondary-vocational education","2002",9.6
"Weighted","Poor or rather poor","Men","Secondary-vocational education","2004",9.0
"Weighted","Poor or rather poor","Men","Secondary-vocational education","2006",10.4
"Weighted","Poor or rather poor","Men","Secondary-vocational education","2008",9.6
"Weighted","Poor or rather poor","Men","Secondary-vocational education","2010",11.8
"Weighted","Poor or rather poor","Men","Secondary-vocational education","2012",11.2
"Weighted","Poor or rather poor","Men","Secondary-vocational education","2014",11.8
"Weighted","Poor or rather poor","Men","Secondary-vocational education","2016",11.6
"Weighted","Poor or rather poor","Men","Secondary-vocational education","2018",12.4
"Weighted","Poor or rather poor","Men","Secondary-vocational education","2020",12.4
"Weighted","Poor or rather poor","Men","Secondary-vocational education","2022",11.5
"Weighted","Poor or rather poor","Men","Secondary-vocational education","2024",10.9
"Weighted","Poor or rather poor","Men","Basic or lower education","1990",17.9
"Weighted","Poor or rather poor","Men","Basic or lower education","1992",9.3
"Weighted","Poor or rather poor","Men","Basic or lower education","1994",9.4
"Weighted","Poor or rather poor","Men","Basic or lower education","1996",13.9
"Weighted","Poor or rather poor","Men","Basic or lower education","1998",10.6
"Weighted","Poor or rather poor","Men","Basic or lower education","2000",12.4
"Weighted","Poor or rather poor","Men","Basic or lower education","2002",13.6
"Weighted","Poor or rather poor","Men","Basic or lower education","2004",18.9
"Weighted","Poor or rather poor","Men","Basic or lower education","2006",16.0
"Weighted","Poor or rather poor","Men","Basic or lower education","2008",13.3
"Weighted","Poor or rather poor","Men","Basic or lower education","2010",16.0
"Weighted","Poor or rather poor","Men","Basic or lower education","2012",14.0
"Weighted","Poor or rather poor","Men","Basic or lower education","2014",13.7
"Weighted","Poor or rather poor","Men","Basic or lower education","2016",12.4
"Weighted","Poor or rather poor","Men","Basic or lower education","2018",14.1
"Weighted","Poor or rather poor","Men","Basic or lower education","2020",17.5
"Weighted","Poor or rather poor","Men","Basic or lower education","2022",11.3
"Weighted","Poor or rather poor","Men","Basic or lower education","2024",11.3
"Weighted","Poor or rather poor","Women","Higher education","1990",3.6
"Weighted","Poor or rather poor","Women","Higher education","1992",7.1
"Weighted","Poor or rather poor","Women","Higher education","1994",9.4
"Weighted","Poor or rather poor","Women","Higher education","1996",9.1
"Weighted","Poor or rather poor","Women","Higher education","1998",8.8
"Weighted","Poor or rather poor","Women","Higher education","2000",7.8
"Weighted","Poor or rather poor","Women","Higher education","2002",4.6
"Weighted","Poor or rather poor","Women","Higher education","2004",5.2
"Weighted","Poor or rather poor","Women","Higher education","2006",4.8
"Weighted","Poor or rather poor","Women","Higher education","2008",3.0
"Weighted","Poor or rather poor","Women","Higher education","2010",5.7
"Weighted","Poor or rather poor","Women","Higher education","2012",4.9
"Weighted","Poor or rather poor","Women","Higher education","2014",5.4
"Weighted","Poor or rather poor","Women","Higher education","2016",2.8
"Weighted","Poor or rather poor","Women","Higher education","2018",5.7
"Weighted","Poor or rather poor","Women","Higher education","2020",3.6
"Weighted","Poor or rather poor","Women","Higher education","2022",4.9
"Weighted","Poor or rather poor","Women","Higher education","2024",5.4
"Weighted","Poor or rather poor","Women","Secondary education","1990",14.7
"Weighted","Poor or rather poor","Women","Secondary education","1992",7.3
"Weighted","Poor or rather poor","Women","Secondary education","1994",11.7
"Weighted","Poor or rather poor","Women","Secondary education","1996",11.1
"Weighted","Poor or rather poor","Women","Secondary education","1998",7.6
"Weighted","Poor or rather poor","Women","Secondary education","2000",8.4
"Weighted","Poor or rather poor","Women","Secondary education","2002",13.8
"Weighted","Poor or rather poor","Women","Secondary education","2004",10.3
"Weighted","Poor or rather poor","Women","Secondary education","2006",8.3
"Weighted","Poor or rather poor","Women","Secondary education","2008",9.7
"Weighted","Poor or rather poor","Women","Secondary education","2010",9.6
"Weighted","Poor or rather poor","Women","Secondary education","2012",9.8
"Weighted","Poor or rather poor","Women","Secondary education","2014",10.6
"Weighted","Poor or rather poor","Women","Secondary education","2016",8.2
"Weighted","Poor or rather poor","Women","Secondary education","2018",6.7
"Weighted","Poor or rather poor","Women","Secondary education","2020",12.1
"Weighted","Poor or rather poor","Women","Secondary education","2022",9.6
"Weighted","Poor or rather poor","Women","Secondary education","2024",13.2
"Weighted","Poor or rather poor","Women","Secondary-vocational education","1990",10.0
"Weighted","Poor or rather poor","Women","Secondary-vocational education","1992",8.2
"Weighted","Poor or rather poor","Women","Secondary-vocational education","1994",6.7
"Weighted","Poor or rather poor","Women","Secondary-vocational education","1996",6.8
"Weighted","Poor or rather poor","Women","Secondary-vocational education","1998",7.3
"Weighted","Poor or rather poor","Women","Secondary-vocational education","2000",13.9
"Weighted","Poor or rather poor","Women","Secondary-vocational education","2002",8.0
"Weighted","Poor or rather poor","Women","Secondary-vocational education","2004",10.1
"Weighted","Poor or rather poor","Women","Secondary-vocational education","2006",8.9
"Weighted","Poor or rather poor","Women","Secondary-vocational education","2008",8.9
"Weighted","Poor or rather poor","Women","Secondary-vocational education","2010",10.2
"Weighted","Poor or rather poor","Women","Secondary-vocational education","2012",10.3
"Weighted","Poor or rather poor","Women","Secondary-vocational education","2014",10.3
"Weighted","Poor or rather poor","Women","Secondary-vocational education","2016",13.6
"Weighted","Poor or rather poor","Women","Secondary-vocational education","2018",10.0
"Weighted","Poor or rather poor","Women","Secondary-vocational education","2020",10.5
"Weighted","Poor or rather poor","Women","Secondary-vocational education","2022",12.3
"Weighted","Poor or rather poor","Women","Secondary-vocational education","2024",11.0
"Weighted","Poor or rather poor","Women","Basic or lower education","1990",19.3
"Weighted","Poor or rather poor","Women","Basic or lower education","1992",16.9
"Weighted","Poor or rather poor","Women","Basic or lower education","1994",17.5
"Weighted","Poor or rather poor","Women","Basic or lower education","1996",17.3
"Weighted","Poor or rather poor","Women","Basic or lower education","1998",19.8
"Weighted","Poor or rather poor","Women","Basic or lower education","2000",12.9
"Weighted","Poor or rather poor","Women","Basic or lower education","2002",12.0
"Weighted","Poor or rather poor","Women","Basic or lower education","2004",16.3
"Weighted","Poor or rather poor","Women","Basic or lower education","2006",17.9
"Weighted","Poor or rather poor","Women","Basic or lower education","2008",11.5
"Weighted","Poor or rather poor","Women","Basic or lower education","2010",12.3
"Weighted","Poor or rather poor","Women","Basic or lower education","2012",15.5
"Weighted","Poor or rather poor","Women","Basic or lower education","2014",8.8
"Weighted","Poor or rather poor","Women","Basic or lower education","2016",13.7
"Weighted","Poor or rather poor","Women","Basic or lower education","2018",14.4
"Weighted","Poor or rather poor","Women","Basic or lower education","2020",15.6
"Weighted","Poor or rather poor","Women","Basic or lower education","2022",11.5
"Weighted","Poor or rather poor","Women","Basic or lower education","2024",8.0
"Unweighted","Good or reasonably good","Men and women","Higher education","1990",41.7
"Unweighted","Good or reasonably good","Men and women","Higher education","1992",42.7
"Unweighted","Good or reasonably good","Men and women","Higher education","1994",28.2
"Unweighted","Good or reasonably good","Men and women","Higher education","1996",50.9
"Unweighted","Good or reasonably good","Men and women","Higher education","1998",41.3
"Unweighted","Good or reasonably good","Men and women","Higher education","2000",43.8
"Unweighted","Good or reasonably good","Men and women","Higher education","2002",47.2
"Unweighted","Good or reasonably good","Men and women","Higher education","2004",55.7
"Unweighted","Good or reasonably good","Men and women","Higher education","2006",60.1
"Unweighted","Good or reasonably good","Men and women","Higher education","2008",64.0
"Unweighted","Good or reasonably good","Men and women","Higher education","2010",63.6
"Unweighted","Good or reasonably good","Men and women","Higher education","2012",66.4
"Unweighted","Good or reasonably good","Men and women","Higher education","2014",67.0
"Unweighted","Good or reasonably good","Men and women","Higher education","2016",68.0
"Unweighted","Good or reasonably good","Men and women","Higher education","2018",60.8
"Unweighted","Good or reasonably good","Men and women","Higher education","2020",70.2
"Unweighted","Good or reasonably good","Men and women","Higher education","2022",67.0
"Unweighted","Good or reasonably good","Men and women","Higher education","2024",64.4
"Unweighted","Good or reasonably good","Men and women","Secondary education","1990",30.3
"Unweighted","Good or reasonably good","Men and women","Secondary education","1992",34.7
"Unweighted","Good or reasonably good","Men and women","Secondary education","1994",36.7
"Unweighted","Good or reasonably good","Men and women","Secondary education","1996",37.9
"Unweighted","Good or reasonably good","Men and women","Secondary education","1998",40.1
"Unweighted","Good or reasonably good","Men and women","Secondary education","2000",39.3
"Unweighted","Good or reasonably good","Men and women","Secondary education","2002",39.0
"Unweighted","Good or reasonably good","Men and women","Secondary education","2004",42.6
"Unweighted","Good or reasonably good","Men and women","Secondary education","2006",43.8
"Unweighted","Good or reasonably good","Men and women","Secondary education","2008",49.4
"Unweighted","Good or reasonably good","Men and women","Secondary education","2010",46.1
"Unweighted","Good or reasonably good","Men and women","Secondary education","2012",47.8
"Unweighted","Good or reasonably good","Men and women","Secondary education","2014",48.1
"Unweighted","Good or reasonably good","Men and women","Secondary education","2016",49.0
"Unweighted","Good or reasonably good","Men and women","Secondary education","2018",48.1
"Unweighted","Good or reasonably good","Men and women","Secondary education","2020",56.5
"Unweighted","Good or reasonably good","Men and women","Secondary education","2022",58.2
"Unweighted","Good or reasonably good","Men and women","Secondary education","2024",46.3
"Unweighted","Good or reasonably good","Men and women","Secondary-vocational education","1990",22.5
"Unweighted","Good or reasonably good","Men and women","Secondary-vocational education","1992",34.1
"Unweighted","Good or reasonably good","Men and women","Secondary-vocational education","1994",34.1
"Unweighted","Good or reasonably good","Men and women","Secondary-vocational education","1996",36.9
"Unweighted","Good or reasonably good","Men and women","Secondary-vocational education","1998",35.2
"Unweighted","Good or reasonably good","Men and women","Secondary-vocational education","2000",35.6
"Unweighted","Good or reasonably good","Men and women","Secondary-vocational education","2002",42.9
"Unweighted","Good or reasonably good","Men and women","Secondary-vocational education","2004",40.1
"Unweighted","Good or reasonably good","Men and women","Secondary-vocational education","2006",41.6
"Unweighted","Good or reasonably good","Men and women","Secondary-vocational education","2008",44.9
"Unweighted","Good or reasonably good","Men and women","Secondary-vocational education","2010",41.3
"Unweighted","Good or reasonably good","Men and women","Secondary-vocational education","2012",44.3
"Unweighted","Good or reasonably good","Men and women","Secondary-vocational education","2014",43.5
"Unweighted","Good or reasonably good","Men and women","Secondary-vocational education","2016",45.0
"Unweighted","Good or reasonably good","Men and women","Secondary-vocational education","2018",40.8
"Unweighted","Good or reasonably good","Men and women","Secondary-vocational education","2020",45.4
"Unweighted","Good or reasonably good","Men and women","Secondary-vocational education","2022",49.3
"Unweighted","Good or reasonably good","Men and women","Secondary-vocational education","2024",52.8
"Unweighted","Good or reasonably good","Men and women","Basic or lower education","1990",12.8
"Unweighted","Good or reasonably good","Men and women","Basic or lower education","1992",22.4
"Unweighted","Good or reasonably good","Men and women","Basic or lower education","1994",19.4
"Unweighted","Good or reasonably good","Men and women","Basic or lower education","1996",22.0
"Unweighted","Good or reasonably good","Men and women","Basic or lower education","1998",25.0
"Unweighted","Good or reasonably good","Men and women","Basic or lower education","2000",30.2
"Unweighted","Good or reasonably good","Men and women","Basic or lower education","2002",30.7
"Unweighted","Good or reasonably good","Men and women","Basic or lower education","2004",33.3
"Unweighted","Good or reasonably good","Men and women","Basic or lower education","2006",36.1
"Unweighted","Good or reasonably good","Men and women","Basic or lower education","2008",44.6
"Unweighted","Good or reasonably good","Men and women","Basic or lower education","2010",40.3
"Unweighted","Good or reasonably good","Men and women","Basic or lower education","2012",43.4
"Unweighted","Good or reasonably good","Men and women","Basic or lower education","2014",42.0
"Unweighted","Good or reasonably good","Men and women","Basic or lower education","2016",42.6
"Unweighted","Good or reasonably good","Men and women","Basic or lower education","2018",42.5
"Unweighted","Good or reasonably good","Men and women","Basic or lower education","2020",47.2
"Unweighted","Good or reasonably good","Men and women","Basic or lower education","2022",47.6
"Unweighted","Good or reasonably good","Men and women","Basic or lower education","2024",43.3
"Unweighted","Good or reasonably good","Men","Higher education","1990",46.4
"Unweighted","Good or reasonably good","Men","Higher education","1992",50.0
"Unweighted","Good or reasonably good","Men","Higher education","1994",27.9
"Unweighted","Good or reasonably good","Men","Higher education","1996",52.0
"Unweighted","Good or reasonably good","Men","Higher education","1998",44.3
"Unweighted","Good or reasonably good","Men","Higher education","2000",51.3
"Unweighted","Good or reasonably good","Men","Higher education","2002",47.9
"Unweighted","Good or reasonably good","Men","Higher education","2004",52.3
"Unweighted","Good or reasonably good","Men","Higher education","2006",63.4
"Unweighted","Good or reasonably good","Men","Higher education","2008",62.4
"Unweighted","Good or reasonably good","Men","Higher education","2010",58.7
"Unweighted","Good or reasonably good","Men","Higher education","2012",59.7
"Unweighted","Good or reasonably good","Men","Higher education","2014",70.2
"Unweighted","Good or reasonably good","Men","Higher education","2016",64.4
"Unweighted","Good or reasonably good","Men","Higher education","2018",58.1
"Unweighted","Good or reasonably good","Men","Higher education","2020",70.4
"Unweighted","Good or reasonably good","Men","Higher education","2022",67.5
"Unweighted","Good or reasonably good","Men","Higher education","2024",65.1
"Unweighted","Good or reasonably good","Men","Secondary education","1990",31.7
"Unweighted","Good or reasonably good","Men","Secondary education","1992",37.1
"Unweighted","Good or reasonably good","Men","Secondary education","1994",41.3
"Unweighted","Good or reasonably good","Men","Secondary education","1996",44.6
"Unweighted","Good or reasonably good","Men","Secondary education","1998",42.7
"Unweighted","Good or reasonably good","Men","Secondary education","2000",38.7
"Unweighted","Good or reasonably good","Men","Secondary education","2002",41.6
"Unweighted","Good or reasonably good","Men","Secondary education","2004",43.2
"Unweighted","Good or reasonably good","Men","Secondary education","2006",42.9
"Unweighted","Good or reasonably good","Men","Secondary education","2008",47.6
"Unweighted","Good or reasonably good","Men","Secondary education","2010",43.7
"Unweighted","Good or reasonably good","Men","Secondary education","2012",48.0
"Unweighted","Good or reasonably good","Men","Secondary education","2014",47.0
"Unweighted","Good or reasonably good","Men","Secondary education","2016",51.6
"Unweighted","Good or reasonably good","Men","Secondary education","2018",48.1
"Unweighted","Good or reasonably good","Men","Secondary education","2020",50.0
"Unweighted","Good or reasonably good","Men","Secondary education","2022",60.7
"Unweighted","Good or reasonably good","Men","Secondary education","2024",50.8
"Unweighted","Good or reasonably good","Men","Secondary-vocational education","1990",26.8
"Unweighted","Good or reasonably good","Men","Secondary-vocational education","1992",40.1
"Unweighted","Good or reasonably good","Men","Secondary-vocational education","1994",34.7
"Unweighted","Good or reasonably good","Men","Secondary-vocational education","1996",39.6
"Unweighted","Good or reasonably good","Men","Secondary-vocational education","1998",37.6
"Unweighted","Good or reasonably good","Men","Secondary-vocational education","2000",36.5
"Unweighted","Good or reasonably good","Men","Secondary-vocational education","2002",48.5
"Unweighted","Good or reasonably good","Men","Secondary-vocational education","2004",43.6
"Unweighted","Good or reasonably good","Men","Secondary-vocational education","2006",40.1
"Unweighted","Good or reasonably good","Men","Secondary-vocational education","2008",43.1
"Unweighted","Good or reasonably good","Men","Secondary-vocational education","2010",43.4
"Unweighted","Good or reasonably good","Men","Secondary-vocational education","2012",41.8
"Unweighted","Good or reasonably good","Men","Secondary-vocational education","2014",43.5
"Unweighted","Good or reasonably good","Men","Secondary-vocational education","2016",42.8
"Unweighted","Good or reasonably good","Men","Secondary-vocational education","2018",39.8
"Unweighted","Good or reasonably good","Men","Secondary-vocational education","2020",43.7
"Unweighted","Good or reasonably good","Men","Secondary-vocational education","2022",48.4
"Unweighted","Good or reasonably good","Men","Secondary-vocational education","2024",58.1
"Unweighted","Good or reasonably good","Men","Basic or lower education","1990",15.0
"Unweighted","Good or reasonably good","Men","Basic or lower education","1992",25.3
"Unweighted","Good or reasonably good","Men","Basic or lower education","1994",28.2
"Unweighted","Good or reasonably good","Men","Basic or lower education","1996",26.7
"Unweighted","Good or reasonably good","Men","Basic or lower education","1998",30.6
"Unweighted","Good or reasonably good","Men","Basic or lower education","2000",37.2
"Unweighted","Good or reasonably good","Men","Basic or lower education","2002",33.8
"Unweighted","Good or reasonably good","Men","Basic or lower education","2004",36.7
"Unweighted","Good or reasonably good","Men","Basic or lower education","2006",37.5
"Unweighted","Good or reasonably good","Men","Basic or lower education","2008",43.7
"Unweighted","Good or reasonably good","Men","Basic or lower education","2010",38.0
"Unweighted","Good or reasonably good","Men","Basic or lower education","2012",43.0
"Unweighted","Good or reasonably good","Men","Basic or lower education","2014",40.0
"Unweighted","Good or reasonably good","Men","Basic or lower education","2016",39.6
"Unweighted","Good or reasonably good","Men","Basic or lower education","2018",43.3
"Unweighted","Good or reasonably good","Men","Basic or lower education","2020",47.0
"Unweighted","Good or reasonably good","Men","Basic or lower education","2022",48.3
"Unweighted","Good or reasonably good","Men","Basic or lower education","2024",43.4
"Unweighted","Good or reasonably good","Women","Higher education","1990",38.7
"Unweighted","Good or reasonably good","Women","Higher education","1992",36.1
"Unweighted","Good or reasonably good","Women","Higher education","1994",28.4
"Unweighted","Good or reasonably good","Women","Higher education","1996",50.0
"Unweighted","Good or reasonably good","Women","Higher education","1998",40.0
"Unweighted","Good or reasonably good","Women","Higher education","2000",39.9
"Unweighted","Good or reasonably good","Women","Higher education","2002",46.8
"Unweighted","Good or reasonably good","Women","Higher education","2004",57.4
"Unweighted","Good or reasonably good","Women","Higher education","2006",58.4
"Unweighted","Good or reasonably good","Women","Higher education","2008",64.8
"Unweighted","Good or reasonably good","Women","Higher education","2010",65.8
"Unweighted","Good or reasonably good","Women","Higher education","2012",69.3
"Unweighted","Good or reasonably good","Women","Higher education","2014",65.4
"Unweighted","Good or reasonably good","Women","Higher education","2016",69.6
"Unweighted","Good or reasonably good","Women","Higher education","2018",62.2
"Unweighted","Good or reasonably good","Women","Higher education","2020",70.2
"Unweighted","Good or reasonably good","Women","Higher education","2022",66.7
"Unweighted","Good or reasonably good","Women","Higher education","2024",64.0
"Unweighted","Good or reasonably good","Women","Secondary education","1990",29.1
"Unweighted","Good or reasonably good","Women","Secondary education","1992",32.9
"Unweighted","Good or reasonably good","Women","Secondary education","1994",32.7
"Unweighted","Good or reasonably good","Women","Secondary education","1996",32.4
"Unweighted","Good or reasonably good","Women","Secondary education","1998",38.0
"Unweighted","Good or reasonably good","Women","Secondary education","2000",39.6
"Unweighted","Good or reasonably good","Women","Secondary education","2002",37.3
"Unweighted","Good or reasonably good","Women","Secondary education","2004",42.1
"Unweighted","Good or reasonably good","Women","Secondary education","2006",44.4
"Unweighted","Good or reasonably good","Women","Secondary education","2008",50.7
"Unweighted","Good or reasonably good","Women","Secondary education","2010",47.8
"Unweighted","Good or reasonably good","Women","Secondary education","2012",47.6
"Unweighted","Good or reasonably good","Women","Secondary education","2014",49.0
"Unweighted","Good or reasonably good","Women","Secondary education","2016",47.0
"Unweighted","Good or reasonably good","Women","Secondary education","2018",48.1
"Unweighted","Good or reasonably good","Women","Secondary education","2020",61.2
"Unweighted","Good or reasonably good","Women","Secondary education","2022",55.7
"Unweighted","Good or reasonably good","Women","Secondary education","2024",42.5
"Unweighted","Good or reasonably good","Women","Secondary-vocational education","1990",19.6
"Unweighted","Good or reasonably good","Women","Secondary-vocational education","1992",28.0
"Unweighted","Good or reasonably good","Women","Secondary-vocational education","1994",33.7
"Unweighted","Good or reasonably good","Women","Secondary-vocational education","1996",35.1
"Unweighted","Good or reasonably good","Women","Secondary-vocational education","1998",33.3
"Unweighted","Good or reasonably good","Women","Secondary-vocational education","2000",35.1
"Unweighted","Good or reasonably good","Women","Secondary-vocational education","2002",39.6
"Unweighted","Good or reasonably good","Women","Secondary-vocational education","2004",37.6
"Unweighted","Good or reasonably good","Women","Secondary-vocational education","2006",42.5
"Unweighted","Good or reasonably good","Women","Secondary-vocational education","2008",46.3
"Unweighted","Good or reasonably good","Women","Secondary-vocational education","2010",39.8
"Unweighted","Good or reasonably good","Women","Secondary-vocational education","2012",46.2
"Unweighted","Good or reasonably good","Women","Secondary-vocational education","2014",43.6
"Unweighted","Good or reasonably good","Women","Secondary-vocational education","2016",46.6
"Unweighted","Good or reasonably good","Women","Secondary-vocational education","2018",41.6
"Unweighted","Good or reasonably good","Women","Secondary-vocational education","2020",46.8
"Unweighted","Good or reasonably good","Women","Secondary-vocational education","2022",50.0
"Unweighted","Good or reasonably good","Women","Secondary-vocational education","2024",48.3
"Unweighted","Good or reasonably good","Women","Basic or lower education","1990",10.6
"Unweighted","Good or reasonably good","Women","Basic or lower education","1992",18.8
"Unweighted","Good or reasonably good","Women","Basic or lower education","1994",11.5
"Unweighted","Good or reasonably good","Women","Basic or lower education","1996",17.1
"Unweighted","Good or reasonably good","Women","Basic or lower education","1998",18.2
"Unweighted","Good or reasonably good","Women","Basic or lower education","2000",21.0
"Unweighted","Good or reasonably good","Women","Basic or lower education","2002",26.7
"Unweighted","Good or reasonably good","Women","Basic or lower education","2004",29.7
"Unweighted","Good or reasonably good","Women","Basic or lower education","2006",34.5
"Unweighted","Good or reasonably good","Women","Basic or lower education","2008",45.8
"Unweighted","Good or reasonably good","Women","Basic or lower education","2010",43.2
"Unweighted","Good or reasonably good","Women","Basic or lower education","2012",43.9
"Unweighted","Good or reasonably good","Women","Basic or lower education","2014",43.9
"Unweighted","Good or reasonably good","Women","Basic or lower education","2016",45.8
"Unweighted","Good or reasonably good","Women","Basic or lower education","2018",41.6
"Unweighted","Good or reasonably good","Women","Basic or lower education","2020",47.3
"Unweighted","Good or reasonably good","Women","Basic or lower education","2022",46.7
"Unweighted","Good or reasonably good","Women","Basic or lower education","2024",43.3
"Unweighted","Average","Men and women","Higher education","1990",53.9
"Unweighted","Average","Men and women","Higher education","1992",51.6
"Unweighted","Average","Men and women","Higher education","1994",61.6
"Unweighted","Average","Men and women","Higher education","1996",41.6
"Unweighted","Average","Men and women","Higher education","1998",49.8
"Unweighted","Average","Men and women","Higher education","2000",49.6
"Unweighted","Average","Men and women","Higher education","2002",45.9
"Unweighted","Average","Men and women","Higher education","2004",38.3
"Unweighted","Average","Men and women","Higher education","2006",34.7
"Unweighted","Average","Men and women","Higher education","2008",31.9
"Unweighted","Average","Men and women","Higher education","2010",30.8
"Unweighted","Average","Men and women","Higher education","2012",27.4
"Unweighted","Average","Men and women","Higher education","2014",27.1
"Unweighted","Average","Men and women","Higher education","2016",28.3
"Unweighted","Average","Men and women","Higher education","2018",33.3
"Unweighted","Average","Men and women","Higher education","2020",26.1
"Unweighted","Average","Men and women","Higher education","2022",27.9
"Unweighted","Average","Men and women","Higher education","2024",30.1
"Unweighted","Average","Men and women","Secondary education","1990",59.2
