"Diagnosis (ICD-10)","Sex","Age group","Year","Incidence of psychiatric disorders"
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","15-19","2021",38
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","15-19","2022",55
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","15-19","2023",54
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","15-19","2024",55
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","20-24","1998",350
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","20-24","1999",448
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","20-24","2000",712
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","20-24","2001",565
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","20-24","2002",482
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","20-24","2003",603
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","20-24","2004",699
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","20-24","2005",484
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","20-24","2006",802
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","20-24","2007",718
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","20-24","2008",648
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","20-24","2009",678
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","20-24","2010",543
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","20-24","2011",407
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","20-24","2012",361
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","20-24","2013",302
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","20-24","2014",352
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","20-24","2015",238
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","20-24","2016",257
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","20-24","2017",233
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","20-24","2018",168
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","20-24","2019",196
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","20-24","2020",151
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","20-24","2021",178
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","20-24","2022",159
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","20-24","2023",135
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","20-24","2024",171
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","25-34","1998",921
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","25-34","1999",836
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","25-34","2000",1016
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","25-34","2001",1109
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","25-34","2002",1110
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","25-34","2003",1070
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","25-34","2004",1256
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","25-34","2005",1298
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","25-34","2006",1701
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","25-34","2007",1810
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","25-34","2008",1555
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","25-34","2009",1204
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","25-34","2010",1537
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","25-34","2011",910
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","25-34","2012",953
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","25-34","2013",1099
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","25-34","2014",853
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","25-34","2015",839
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","25-34","2016",840
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","25-34","2017",872
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","25-34","2018",735
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","25-34","2019",753
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","25-34","2020",648
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","25-34","2021",588
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","25-34","2022",617
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","25-34","2023",493
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","25-34","2024",500
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","35-44","1998",1094
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","35-44","1999",1285
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","35-44","2000",1000
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","35-44","2001",1185
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","35-44","2002",1229
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","35-44","2003",1090
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","35-44","2004",1073
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","35-44","2005",1154
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","35-44","2006",1288
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","35-44","2007",1468
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","35-44","2008",1353
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","35-44","2009",954
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","35-44","2010",905
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","35-44","2011",806
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","35-44","2012",817
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","35-44","2013",886
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","35-44","2014",677
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","35-44","2015",829
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","35-44","2016",690
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","35-44","2017",782
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","35-44","2018",790
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","35-44","2019",833
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","35-44","2020",795
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","35-44","2021",740
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","35-44","2022",957
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","35-44","2023",694
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","35-44","2024",842
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","45-54","1998",740
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","45-54","1999",764
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","45-54","2000",752
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","45-54","2001",860
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","45-54","2002",1021
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","45-54","2003",874
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","45-54","2004",929
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","45-54","2005",945
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","45-54","2006",1013
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","45-54","2007",1108
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","45-54","2008",1067
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","45-54","2009",704
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","45-54","2010",676
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","45-54","2011",608
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","45-54","2012",610
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","45-54","2013",679
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","45-54","2014",624
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","45-54","2015",569
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","45-54","2016",547
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","45-54","2017",586
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","45-54","2018",594
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","45-54","2019",598
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","45-54","2020",535
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","45-54","2021",485
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","45-54","2022",650
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","45-54","2023",543
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","45-54","2024",512
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","55-64","1998",290
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","55-64","1999",350
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","55-64","2000",289
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","55-64","2001",321
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","55-64","2002",331
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","55-64","2003",303
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","55-64","2004",355
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","55-64","2005",374
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","55-64","2006",436
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","55-64","2007",448
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","55-64","2008",563
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","55-64","2009",349
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","55-64","2010",344
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","55-64","2011",318
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","55-64","2012",314
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","55-64","2013",318
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","55-64","2014",369
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","55-64","2015",365
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","55-64","2016",306
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","55-64","2017",366
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","55-64","2018",340
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","55-64","2019",379
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","55-64","2020",338
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","55-64","2021",301
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","55-64","2022",365
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","55-64","2023",272
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","55-64","2024",292
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","65-74","1998",93
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","65-74","1999",101
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","65-74","2000",68
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","65-74","2001",73
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","65-74","2002",93
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","65-74","2003",101
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","65-74","2004",79
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","65-74","2005",91
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","65-74","2006",118
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","65-74","2007",150
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","65-74","2008",173
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","65-74","2009",84
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","65-74","2010",87
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","65-74","2011",100
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","65-74","2012",83
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","65-74","2013",93
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","65-74","2014",75
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","65-74","2015",110
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","65-74","2016",84
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","65-74","2017",79
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","65-74","2018",103
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","65-74","2019",108
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","65-74","2020",96
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","65-74","2021",88
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","65-74","2022",92
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","65-74","2023",72
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","65-74","2024",66
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","75 and older","1998",10
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","75 and older","1999",14
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","75 and older","2000",12
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","75 and older","2001",8
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","75 and older","2002",12
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","75 and older","2003",17
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","75 and older","2004",15
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","75 and older","2005",10
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","75 and older","2006",15
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","75 and older","2007",33
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","75 and older","2008",35
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","75 and older","2009",11
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","75 and older","2010",7
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","75 and older","2011",20
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","75 and older","2012",11
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","75 and older","2013",16
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","75 and older","2014",14
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","75 and older","2015",17
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","75 and older","2016",32
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","75 and older","2017",21
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","75 and older","2018",24
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","75 and older","2019",28
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","75 and older","2020",17
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","75 and older","2021",15
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","75 and older","2022",19
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","75 and older","2023",17
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","75 and older","2024",16
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","75-84","1998",..
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","75-84","1999",..
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","75-84","2000",..
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","75-84","2001",..
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","75-84","2002",..
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","75-84","2003",..
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","75-84","2004",..
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","75-84","2005",..
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","75-84","2006",..
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","75-84","2007",..
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","75-84","2008",..
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","75-84","2009",..
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","75-84","2010",..
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","75-84","2011",19
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","75-84","2012",11
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","75-84","2013",16
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","75-84","2014",12
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","75-84","2015",16
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","75-84","2016",30
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","75-84","2017",19
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","75-84","2018",20
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","75-84","2019",24
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","75-84","2020",17
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","75-84","2021",14
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","75-84","2022",17
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","75-84","2023",16
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","75-84","2024",13
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","85 and older","1998",..
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","85 and older","1999",..
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","85 and older","2000",..
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","85 and older","2001",..
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","85 and older","2002",..
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","85 and older","2003",..
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","85 and older","2004",..
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","85 and older","2005",..
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","85 and older","2006",..
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","85 and older","2007",..
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","85 and older","2008",..
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","85 and older","2009",..
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","85 and older","2010",..
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","85 and older","2011",1
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","85 and older","2012",0
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","85 and older","2013",0
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","85 and older","2014",2
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","85 and older","2015",1
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","85 and older","2016",2
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","85 and older","2017",2
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","85 and older","2018",4
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","85 and older","2019",4
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","85 and older","2020",0
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","85 and older","2021",1
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","85 and older","2022",2
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","85 and older","2023",1
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men and women","85 and older","2024",3
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men","All age groups","1998",3162
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men","All age groups","1999",3541
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men","All age groups","2000",3621
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men","All age groups","2001",3730
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men","All age groups","2002",3665
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men","All age groups","2003",3600
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men","All age groups","2004",3861
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men","All age groups","2005",3727
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men","All age groups","2006",4531
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men","All age groups","2007",4737
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men","All age groups","2008",4443
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men","All age groups","2009",3346
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men","All age groups","2010",3513
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men","All age groups","2011",2645
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men","All age groups","2012",2600
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men","All age groups","2013",2798
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men","All age groups","2014",2415
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men","All age groups","2015",2405
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men","All age groups","2016",2334
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men","All age groups","2017",2500
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men","All age groups","2018",2213
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men","All age groups","2019",2369
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men","All age groups","2020",2106
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men","All age groups","2021",1949
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men","All age groups","2022",2300
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men","All age groups","2023",1810
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men","All age groups","2024",1932
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men","0","1998",0
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men","0","1999",0
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men","0","2000",0
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men","0","2001",0
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men","0","2002",0
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men","0","2003",0
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men","0","2004",0
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men","0","2005",0
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men","0","2006",0
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men","0","2007",0
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men","0","2008",0
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men","0","2009",0
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men","0","2010",0
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men","0","2011",0
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men","0","2012",0
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men","0","2013",0
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men","0","2014",0
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men","0","2015",0
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men","0","2016",0
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men","0","2017",0
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men","0","2018",0
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men","0","2019",0
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men","0","2020",0
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men","0","2021",0
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men","0","2022",0
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men","0","2023",0
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men","0","2024",0
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men","1-4","1998",0
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men","1-4","1999",0
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men","1-4","2000",0
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men","1-4","2001",0
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men","1-4","2002",0
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men","1-4","2003",0
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men","1-4","2004",0
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men","1-4","2005",0
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men","1-4","2006",0
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men","1-4","2007",0
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men","1-4","2008",0
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men","1-4","2009",0
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men","1-4","2010",0
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men","1-4","2011",0
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men","1-4","2012",0
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men","1-4","2013",0
"Mental and behavioural disorders due to psychoactive substance use (F10-F19)","Men","1-4","2014",0
